Guide	Gene	aav1	aav2	aav3	aav4	ap2	br1	br3	br4	102_10	102_12	102_13	102_14	102_15	106_1	106_2	106_3	106_11	106_12	106_14	106_17	106_18	106_20	100_4	100_6
Tyrobp_+_30413793.23-P1P2	Tyrobp	1096	908	1999	115	1156	1254	1615	1250	728	518	638	640	708	834	1796	763	428	1099	450	972	753	822	1026	701
Hsd11b2_+_105518760.23-P1P2	Hsd11b2	1438	1151	2591	123	1404	1397	1576	1651	838	790	946	813	885	1223	1447	753	812	1153	627	924	815	845	1098	897
Mtmr7_-_40634702.23-P1P2	Mtmr7	756	678	1755	106	1308	1493	1184	1078	427	365	383	434	395	715	823	577	746	662	1230	938	530	674	364	315
Pim1_+_29490988.23-P1P2	Pim1	1449	1244	3014	167	1812	2185	1696	1936	901	758	845	907	917	948	1463	1187	957	1416	1158	1087	631	775	1289	1232
Nr1i3_-_171214076.23-P1P2	Nr1i3	833	910	2062	116	1207	1608	1273	1274	420	323	354	362	369	467	899	272	719	681	927	1234	563	477	412	552
Ppp1cb_-_32459361.23-P1P2	Ppp1cb	731	649	1663	95	1125	439	917	912	443	381	482	430	494	510	776	498	696	568	410	790	323	409	411	404
Hrh2_-_54192173.23-P1P2	Hrh2	204	175	396	23	332	425	93	206	151	104	129	120	172	215	385	176	210	83	0	136	204	134	158	259
Cdk7_+_100730851.23-P1P2	Cdk7	719	668	1152	80	657	594	781	667	432	405	454	425	450	265	355	236	506	480	371	355	242	370	526	471
Iars2_+_185329355.23-P1P2	Iars2	27	6	50	4	17	0	23	28	8	3	18	14	19	56	157	78	63	31	67	1	34	0	0	21
Cask_-_13846494.23-P1P2	Cask	1190	1135	2405	155	1590	1853	1861	1948	872	580	711	755	858	824	1207	784	957	1087	1169	1346	592	843	838	812
Slc22a8_+_8591327.23-P2	Slc22a8	2068	1704	4157	248	2121	2931	2244	2444	1157	938	992	1135	1385	1495	1699	958	990	1583	925	1567	1013	844	1251	962
Pak6_-_118663359.23-P1	Pak6	2177	1896	4945	234	2866	2887	3081	3014	1322	984	1234	1352	1457	1209	2237	1293	1804	1866	1851	1765	1237	1547	1467	1720
Cacna1c_+_118757929.23-ENSMUST00000112825.2	Cacna1c	1584	1389	3364	188	1571	2225	2047	1735	915	664	843	785	845	911	1959	823	1110	1501	762	1268	898	895	1140	818
Piga_-_164419821.23-P1P2	Piga	1465	1253	2757	139	1909	2122	2193	1913	902	793	1026	905	905	912	1480	928	1099	1250	739	1325	921	738	1057	1523
Gabbr1_+_37050947.23-P2	Gabbr1	1402	1056	2936	130	1343	1899	1699	1974	843	644	755	848	794	1010	1119	930	1118	1217	767	986	797	900	821	1173
Casp7_+_56397257.23-P1P2	Casp7	830	730	1804	70	1052	700	694	896	582	443	466	464	524	396	931	620	609	811	426	985	565	569	884	506
Ngf_-_102469960.23-P1P2	Ngf	940	779	1740	87	823	843	1210	1112	452	395	514	582	496	803	1182	584	1078	919	237	1069	742	728	769	506
Dgka_-_128743765.23-P1P2	Dgka	1510	1372	3355	161	1885	1748	2168	1915	832	701	858	816	951	902	1386	1132	1661	1472	1652	1617	1089	717	691	1058
Csf2ra_-_61228350.23-P1P2	Csf2ra	98	65	251	14	118	183	122	110	53	22	52	60	88	99	257	129	127	49	143	0	35	58	72	128
Ppp2ca_-_52098851.23-P1P2	Ppp2ca	1738	1392	4294	196	1942	2636	1805	2213	862	692	855	852	928	666	1670	683	1326	1249	1758	1852	1057	958	1104	1132
Gm8909_-_36168308.23-P1P2	Gm8909	1811	1558	3362	183	2162	2585	2240	2242	1208	1042	1221	1306	1219	1294	2317	1563	1785	1788	1588	1772	1105	1114	1139	1381
Padi2_-_140906421.23-P1	Padi2	2251	1808	4162	261	2091	2254	2198	2470	1198	890	1340	1179	1234	1748	2468	1197	1295	1698	1329	2029	1190	1217	1562	972
Nnmt_-_48604941.23-P1P2	Nnmt	1341	1281	2463	186	1190	1983	1272	1381	780	690	825	870	940	733	1391	768	899	948	974	1237	961	781	589	784
Aass_+_23132710.23-P1P2	Aass	2117	1597	3824	213	2223	2268	2565	2679	1220	1051	1028	1354	1344	1541	1415	1251	1599	1586	1666	1809	1497	1342	1463	1356
Npy2r_-_82547928.23-P1P2	Npy2r	1642	1326	3539	178	2173	2649	2008	1980	957	881	836	945	924	1422	2086	1326	1674	1770	1123	1615	1031	1456	1034	1124
Araf_-_20848629.23-P1P2	Araf	1630	1461	3226	180	1675	2236	1181	2048	983	983	997	939	922	875	1147	745	993	877	810	1462	816	852	876	917
Nek9_+_85339336.23-P1P2	Nek9	136	141	284	22	275	176	126	171	82	69	64	76	90	52	212	75	26	139	193	97	19	105	228	51
Mertk_+_128698940.23-P1P2	Mertk	1921	1482	3827	207	2275	2893	1948	2515	1006	824	984	967	1063	1198	1885	991	1086	1151	1250	1479	961	1068	1490	1202
Srms_+_181212915.23-P1P2	Srms	1477	1040	2901	138	1729	1657	1416	1808	704	610	707	770	750	594	1661	496	1474	855	1388	1275	1094	1000	935	686
Ppia_+_6415848.23-P1P2	Ppia	1836	1844	3870	218	2276	3481	1646	2306	1018	745	1146	984	1155	1182	1580	1057	1654	1224	1622	1533	961	887	1305	1094
Pip5kl1_-_32575915.23-P1P2	Pip5kl1	3132	2544	7349	433	4539	4874	3828	4710	1990	1662	1870	1950	2083	2373	3288	1994	2644	2520	3125	3285	2180	2311	2282	1740
Ephb3_-_21204814.23-P1P2	Ephb3	1867	1543	4717	230	2397	2511	2368	2615	1234	965	1175	1145	1161	1453	1691	1298	1541	2095	1043	2362	1383	1036	1269	1120
Lss_+_76531686.23-P1P2	Lss	2009	1667	4259	216	1931	2683	2320	2241	1066	772	945	885	1119	1537	1846	819	1579	1453	1436	1866	876	1517	814	1306
Acvr1c_-_58357756.23-P1P2	Acvr1c	1436	1250	2905	170	1940	1636	1205	1841	698	584	755	707	805	1219	1847	876	1222	1562	1471	1502	782	1053	1172	1106
non-targeting_00183	non-targeting	689	448	1609	96	709	534	911	903	375	293	362	264	374	220	450	362	370	446	706	512	337	281	284	323
Ppp1r1a_+_103537787.23-P1P2	Ppp1r1a	2335	1969	4269	247	2829	3298	3247	3067	1539	1243	1510	1437	1549	1344	1938	1904	1829	1954	1944	2518	1466	1201	1997	1747
Calr_-_84846826.23-P1P2	Calr	671	599	1217	94	1107	1465	886	866	489	323	388	415	441	623	655	468	717	800	639	567	428	533	483	608
Stk39_+_68471810.23-P1P2	Stk39	1124	898	2137	110	1555	1450	1190	1400	816	691	815	829	918	681	1060	820	1059	1068	1232	1139	732	644	799	811
Kcnmb4_-_116473884.23-P1P2	Kcnmb4	446	609	1466	80	899	503	876	957	341	241	336	298	434	327	814	390	386	604	702	631	410	268	401	340
Dlg4_+_70018620.23-P1	Dlg4	685	537	1023	48	686	928	618	756	348	278	420	449	310	680	206	308	445	353	417	405	362	395	234	337
Afg3l2_-_67448931.23-P1P2	Afg3l2	272	227	380	27	111	383	220	282	85	61	76	147	98	40	135	33	84	25	314	75	25	55	212	156
Ppp1r1a_+_103537777.23-P1P2	Ppp1r1a	2291	2097	5171	263	2926	3851	2702	3037	1391	1137	1378	1445	1634	1509	2242	1509	1793	1647	1351	1895	988	1224	1573	1307
Cyp2d10_+_82406910.23-P1P2	Cyp2d10	938	808	2283	105	1059	1378	1289	1021	563	436	612	531	551	499	859	672	771	755	457	722	416	507	617	400
Gcsh_-_116993479.23-P1P2	Gcsh	1	0	4	0	2	0	1	10	5	0	8	9	0	0	0	16	34	1	48	81	45	0	0	0
Ndufs1_-_63176484.23-P1P2	Ndufs1	1584	1313	2655	135	1257	1785	1272	1396	937	801	920	898	1089	602	1280	770	1114	1364	783	1091	677	870	1316	1084
Caml_-_55623118.23-P1P2	Caml	1751	1245	3033	141	1636	2005	1389	1721	708	622	644	684	770	951	1090	590	1022	1000	930	1214	771	658	830	849
Chrm4_+_91922274.23-P1P2	Chrm4	627	556	1141	70	642	583	693	633	392	316	445	361	443	535	700	479	703	673	112	453	558	441	506	525
Mapk13_+_28769376.23-P1P2	Mapk13	1347	1158	2502	125	1406	1738	1370	1415	721	619	752	678	796	1019	1345	745	962	1042	874	1189	776	813	792	744
Trim24_-_37870884.23-P1P2	Trim24	1297	1102	2864	133	1607	1747	1596	1644	861	719	970	856	968	744	837	947	1190	1314	701	1389	739	1057	666	1182
Map4k1_+_28982946.23-P1P2	Map4k1	503	437	1090	59	628	444	508	623	315	317	355	292	273	166	609	223	583	345	537	408	207	209	167	497
Ifnar2_+_91372937.23-P1P2	Ifnar2	362	236	688	47	506	655	318	345	164	210	154	187	239	201	164	390	538	257	308	491	354	313	134	321
C1qb_+_136886027.23-P1P2	C1qb	3038	2656	6348	344	3548	4161	3466	3789	1874	1425	1797	1806	1939	1323	2839	2339	2792	2446	2499	3184	1992	1538	1661	2281
Capns1_+_30195017.23-P1P2	Capns1	1664	1449	3353	195	2129	2023	1826	1666	900	773	919	916	897	1214	929	943	930	1425	1318	1152	983	919	1102	1066
Slc7a1_-_148399732.23-P1P2	Slc7a1	1643	1219	3406	174	1741	1870	1752	1782	941	813	871	1060	953	715	1846	640	1163	910	1014	1304	891	721	1057	816
Cftr_-_18170590.23-P1P2	Cftr	2037	1792	4248	283	2540	2940	2640	2550	1375	1083	1471	1421	1422	1485	1851	1144	1619	1321	2206	1558	973	947	1357	1245
Ephb2_-_136835790.23-P1P2	Ephb2	797	722	1546	88	829	449	854	845	429	330	518	332	417	536	908	460	606	1022	219	1074	461	682	458	406
Ndufa10_-_92473771.23-P1P2	Ndufa10	2707	2254	4861	225	2752	2376	2640	2975	1374	1244	1452	1328	1468	1668	2398	1259	1801	1991	2313	1936	1286	1482	1326	1960
Hdhd1a_-_50568673.23-P1P2	Hdhd1a	1083	916	2490	151	2020	1197	945	1494	608	552	733	644	606	912	771	794	953	822	768	921	775	631	646	460
Pip5k1c_+_81292967.23-P1P2	Pip5k1c	1630	1423	3610	180	1931	1165	1183	1861	916	866	989	997	967	808	1340	1095	1311	1218	967	1249	794	920	1091	1442
