Guide	Gene	aav1	aav2	1	2	3	4	9	10	11	16	17	19	20	23
Sbk1_-_126272726.23-P1P2	Sbk1	420	996	327	432	215	382	343	374	311	174	264	200	241	156
Pik3ap1_-_41385040.23-P1P2	Pik3ap1	721	1762	585	478	406	666	668	548	575	498	477	310	363	331
Mmp7_+_7692118.23-P1P2	Mmp7	277	712	169	201	136	205	173	159	253	167	168	139	127	131
Dgkz_+_91963400.23-P1	Dgkz	608	1544	479	579	373	494	397	417	420	448	367	183	259	259
Prss1_+_41459292.23-P1P2	Prss1	1943	4133	1408	1466	985	1688	1461	1223	1699	1185	1313	838	909	742
Ncoa5_+_165034762.23-P1P2	Ncoa5	595	1490	520	563	414	575	494	412	406	399	396	239	238	233
Cdkn2c_+_109665211.23-P2	Cdkn2c	2892	6892	2140	2302	1437	2597	2270	2087	2405	1740	2002	1144	1323	1047
Gale_+_135963782.23-P1P2	Gale	2095	4457	1502	1613	1132	1712	1471	1393	1563	942	1400	814	939	762
Slc1a3_-_8710382.23-P1P2	Slc1a3	1123	2392	935	991	558	1016	880	816	1023	726	786	366	536	429
Kcnq3_-_66286573.23-P1P2	Kcnq3	407	984	266	351	205	394	351	391	389	297	372	212	193	207
Map3k15_+_159988257.23-P1P2	Map3k15	2219	4796	1576	1609	1465	1926	1644	1341	1670	719	1401	723	928	790
Fgg_+_83007849.23-P1P2	Fgg	963	2380	682	793	534	853	812	608	943	713	615	439	471	523
Ptgdr_-_44859336.23-P1P2	Ptgdr	2231	4801	1677	1747	1106	1899	1441	1381	1693	1083	1374	826	1012	810
non-targeting_00000	non-targeting	1888	4266	1319	1706	1136	1655	1323	1188	1446	1026	1299	735	912	784
Inpp5d_-_87620403.23-P1P2	Inpp5d	2265	5257	1696	1924	1347	1938	1593	1563	1913	1037	1483	768	979	761
Leprel1_-_26105562.23-P1P2	Leprel1	1821	3823	1203	1220	866	1338	1263	1164	1163	1107	1057	623	669	728
Map3k4_-_12232536.23-ENSMUST00000115691.2	Map3k4	121	224	70	107	50	112	88	38	106	53	80	65	55	37
Kcna4_-_107290678.23-P1P2	Kcna4	1293	2925	995	1047	727	1153	881	758	979	760	831	435	533	532
Stk11_-_80115825.23-P1P2	Stk11	721	1735	489	530	441	623	480	292	541	548	402	350	352	325
Bag1_-_40948156.23-P1P2	Bag1	220	470	135	142	95	180	120	113	165	144	94	79	92	52
Phkg1_-_129878994.23-P1P2	Phkg1	1762	4094	1310	1492	904	1419	1375	1090	1272	1252	1233	655	797	750
Ndufa11_-_56717842.23-P1P2	Ndufa11	1410	3074	1085	1252	779	1177	1024	1043	1250	732	810	415	661	615
Glrx2_-_143739640.23-P1P2	Glrx2	2068	4541	1428	1759	1140	1718	1625	1410	1606	1191	1348	827	898	731
Ryr1_+_29125111.23-P1P2	Ryr1	2287	5741	1739	1840	1387	2061	1727	1525	2074	1244	1608	905	1105	965
Ak2_-_128993346.23-P1P2	Ak2	1950	4562	1269	1479	1134	1710	1470	1151	1335	1052	1274	680	801	765
Nr1h4_+_89533573.23-P2	Nr1h4	1877	4358	1530	1632	1051	1640	1600	1242	1419	1459	1280	784	944	874
Galm_-_80127761.23-P1P2	Galm	452	928	345	360	275	426	382	307	404	216	277	181	245	202
Pskh1_+_105900633.23-P1P2	Pskh1	1995	4434	1500	1728	1123	1701	1573	1250	1550	1307	1384	718	928	739
Ndufb7_-_83566788.23-P1P2	Ndufb7	1910	4160	1264	1483	1005	1535	1477	1233	1412	1201	1102	791	833	775
Trappc4_+_44407244.23-P1P2	Trappc4	774	2190	545	573	370	670	441	374	561	419	503	238	360	265
non-targeting_00123	non-targeting	280	629	141	167	91	262	192	166	231	109	140	78	153	91
Arpc1b_-_145114341.23-P1P2	Arpc1b	773	1656	490	608	414	685	639	374	611	517	496	377	306	313
Prkca_+_108343633.23-P1P2	Prkca	669	1319	488	477	386	510	579	459	513	505	485	268	289	242
Dcxr_+_120727218.23-P1P2	Dcxr	840	2023	631	661	501	777	699	591	795	681	633	497	563	352
Krt7_+_101411089.23-P2	Krt7	1580	3290	1148	1232	837	1336	1216	1030	1203	1000	1118	665	710	629
Adrb3_-_27228481.23-P1P2	Adrb3	1969	4231	1353	1535	1044	1552	1452	1153	1318	978	1159	702	793	795
Kcnn1_+_70863686.23-P1	Kcnn1	1899	4200	1277	1441	1038	1601	1406	1208	1580	1290	1300	812	931	793
Uqcrb_+_66905334.23-P1P2	Uqcrb	1416	3112	980	1141	788	1047	1069	853	956	802	913	540	562	493
Rdh12_+_79208966.23-P1P2	Rdh12	1711	3968	1328	1443	892	1431	1464	1084	1278	1169	1072	612	849	670
Cox7a1_+_30184238.23-P1P2	Cox7a1	2418	5668	1710	1682	1542	2090	1841	1611	1857	1659	1552	927	1178	1102
Cox7a1_-_30184222.23-P1P2	Cox7a1	844	1957	586	737	493	714	752	556	678	510	560	323	373	281
Npy2r_-_82547931.23-P1P2	Npy2r	2509	5652	1909	2218	1469	2393	2128	1610	2029	1153	1655	932	1155	929
Htr6_+_139075535.23-P1P2	Htr6	1132	2347	702	856	614	1062	744	638	990	873	703	460	435	465
Ulk4_-_121277176.23-P1P2	Ulk4	1076	2285	639	709	579	764	680	595	775	549	673	377	465	482
Cma1_-_55944601.23-ENSMUST00000022834.6	Cma1	295	625	192	185	154	282	189	161	218	134	219	97	127	106
Scyl2_+_89686270.23-P1P2	Scyl2	2869	6860	2049	2232	1688	2525	2314	1832	2284	2242	1925	1376	1511	1302
Fga_+_83026237.23-P1P2	Fga	1058	2179	637	745	617	833	713	654	804	648	599	380	514	394
Ms4a2_-_11623690.23-P1P2	Ms4a2	1918	3825	1053	1185	881	1420	1145	907	1078	1089	1018	626	730	610
Park7_+_150914426.23-P2	Park7	2318	4991	1594	1712	1125	1918	1663	1421	1738	1105	1346	771	974	906
Slc3a1_-_85028611.23-P1P2	Slc3a1	1269	2921	975	1077	708	1114	1061	820	981	939	896	507	592	436
Nagk_-_83795228.23-P1P2	Nagk	3776	8678	2469	2958	1922	3144	2943	2274	3146	2001	2530	1431	1668	1493
Stk38_-_29007721.23-P1P2	Stk38	2817	6420	1986	2259	1642	2477	2158	1965	2184	1938	1861	1256	1331	1116
Dlg4_+_70018470.23-P1	Dlg4	2914	6153	1939	2053	1427	2228	2187	1709	1989	1607	1731	1026	1206	1008
Cacnb4_+_52558534.23-P1P2	Cacnb4	64	225	37	39	41	78	26	42	46	32	39	37	28	60
H6pd_+_150003130.23-P2	H6pd	14	43	18	0	4	18	23	3	11	18	16	6	5	12
Shmt1_+_60811145.23-P1P2	Shmt1	308	578	171	196	134	237	164	159	188	159	174	92	113	102
Vdac2_+_21831569.23-P1P2	Vdac2	1249	3218	974	1263	759	1120	1079	883	1080	759	946	619	597	536
Yars2_-_16302989.23-P1P2	Yars2	2451	5290	1758	1952	1302	1991	1884	1702	1913	1678	1689	982	1045	1085
Cox6a2_-_128206303.23-P1P2	Cox6a2	1855	4332	1321	1613	1003	1491	1501	1125	1411	1245	1145	638	1013	726
Cel_+_28563274.23-P1P2	Cel	2039	4310	1516	1631	1200	1806	1544	1211	1661	1014	1547	773	924	746
Dusp18_-_3895501.23-P1P2	Dusp18	652	1381	462	499	320	516	444	396	487	318	406	216	273	224
Slc25a10_+_120491964.23-P1P2	Slc25a10	1559	3744	1103	1339	840	1305	1276	1184	1163	1096	1076	613	718	671
Htr2a_-_74641172.23-P1P2	Htr2a	1289	2796	995	979	730	1027	1054	785	1052	869	833	448	594	534
Cyp2c50_+_40090190.23-P1P2	Cyp2c50	237	579	190	212	114	290	238	211	201	213	202	85	140	105
Ppm1b_+_84958373.23-P1P2	Ppm1b	1610	3276	1081	1297	847	1382	1142	1087	1152	671	1027	578	654	588
Tubb3_+_123411575.23-P1P2	Tubb3	1319	3060	933	966	738	1179	1092	864	981	1043	955	620	691	527
Slc1a7_-_107968469.23-P1P2	Slc1a7	2035	4873	1454	1588	1239	1679	1551	1370	1691	1416	1276	814	1040	754
Pdgfra_-_75152399.23-P1P2	Pdgfra	1059	2211	775	820	637	924	750	720	918	681	674	451	543	424
Epha2_-_141301311.23-P1P2	Epha2	2531	5766	1826	1987	1530	2128	1963	1694	1924	1688	1521	983	1294	886
Chka_+_3851839.23-P1P2	Chka	1153	2736	786	957	671	924	977	741	762	863	752	454	544	501
Map3k11_-_5689833.23-P1	Map3k11	851	2048	581	611	586	648	646	471	700	464	555	317	352	311
Aanat_+_116593750.23-P1P2	Aanat	1266	2846	865	888	609	987	1050	793	944	607	806	388	481	422
Ptk2_-_73423132.23-P1P2	Ptk2	2441	5595	1756	2045	1416	2059	1790	1390	1994	729	1516	968	1055	845
Prkar2a_+_108692158.23-P1P2	Prkar2a	518	1173	385	407	369	417	408	309	410	289	341	232	274	242
Ppfia2_+_106470393.23-P1P2	Ppfia2	2236	5136	1607	1613	1224	1897	1851	1613	1499	1689	1429	856	947	939
Aprt_-_122576822.23-P1P2	Aprt	573	1257	421	410	366	519	355	438	475	379	365	241	322	262
Stk16_-_75210955.23-P1P2	Stk16	1893	4401	1654	1655	1259	1765	1587	1498	1646	1074	1342	681	964	812
Slc5a6_+_31048241.23-P1P2	Slc5a6	1893	4662	1161	1410	1051	1559	1437	1140	1371	1183	1201	845	852	686
Ece1_-_137862341.23-P1P2	Ece1	2078	5352	1523	1814	1185	1921	1850	1589	1669	1108	1458	799	932	848
Taok2_+_126884674.23-P1P2	Taok2	1723	4109	1332	1393	934	1456	1214	1085	1382	572	1149	628	666	590
Bmx_-_164257989.23-P1P2	Bmx	1612	3534	1061	1093	822	1268	1217	991	1229	1311	1028	550	731	736
Gabrb1_+_71700171.23-P1P2	Gabrb1	1528	3993	1189	1210	939	1493	1320	1060	1231	1371	920	645	860	739
H2-Ab1_-_34263492.23-P1P2	H2-Ab1	2280	5210	1654	1863	1295	1844	1596	1446	1702	1160	1484	809	963	902
Map3k6_+_133240872.23-P1	Map3k6	1027	2124	707	867	520	852	871	642	818	465	584	385	465	314
Dyrk4_-_126921768.23-P1P2	Dyrk4	590	1483	378	538	258	507	449	389	493	218	341	272	215	136
Casr_-_36561777.23-P1P2	Casr	522	912	351	379	247	423	420	347	397	492	331	242	223	251
Lyn_-_3678151.23-P1P2	Lyn	13	60	10	18	9	26	12	13	20	8	17	30	12	24
Pglyrp3_+_92014613.23-ENSMUST00000047660.4	Pglyrp3	1410	2924	867	1125	750	1084	1173	725	1093	1060	865	384	658	510
Ip6k1_+_108002672.23-P1P2	Ip6k1	208	438	143	201	102	167	91	160	115	181	106	46	119	68
Inpp1_-_52817478.23-P1P2	Inpp1	1922	4608	1322	1513	1064	1663	1453	1326	1333	1406	1170	784	906	849
Aldh3b1_+_3929672.23-P1P2	Aldh3b1	3685	8081	2572	2813	2282	3009	3056	2396	2866	2635	2430	1516	1756	1476
Lats2_-_57744584.23-P2	Lats2	2918	6677	1996	2446	1539	2287	1983	1955	2253	1370	1933	1046	1216	1085
Ulk1_-_110809980.23-P1P2	Ulk1	858	1958	659	681	542	822	603	489	734	656	634	314	435	410
Ppp2r2b_+_43059288.23-ENSMUST00000025377.7	Ppp2r2b	2611	5888	1767	2019	1368	2014	1954	1744	1938	1836	1666	1002	1174	1079
Acat1_-_53610298.23-P1P2	Acat1	1581	3719	1095	1210	806	1315	1348	1016	1288	1101	1084	686	822	725
Avpr1a_-_122448773.23-P1P2	Avpr1a	1935	4459	1324	1469	1069	1603	1575	1463	1509	1400	1258	784	858	736
Ppp2r2a_-_67072399.23-P1P2	Ppp2r2a	1911	4244	1243	1249	907	1577	1429	1128	1295	1237	1079	561	867	738
Prkcg_+_3303557.23-P1P2	Prkcg	1241	2480	899	1060	687	1088	900	796	934	750	911	540	569	479
Myh14_-_44669270.23-P1	Myh14	2218	4984	1472	1731	1387	1937	1813	1475	1656	1292	1518	805	1061	912
Slc25a12_-_71367579.23-P1P2	Slc25a12	1987	4836	1380	1571	1072	1737	1643	1323	1572	1039	1295	797	980	725
Pnliprp2_+_58759723.23-P1P2	Pnliprp2	805	1799	556	680	448	667	670	558	614	398	514	332	313	300
Chia_-_106113387.23-P1P2	Chia	2778	6502	1992	2285	1635	2441	2238	1971	2182	1901	1981	1136	1219	1241
Ehhadh_-_21787758.23-P1P2	Ehhadh	2502	5777	1656	1829	1342	1881	1942	1521	1815	1355	1640	930	1027	934
C1s_-_124542283.23-P1P2	C1s	2183	4739	1589	1921	1240	2176	1778	1424	1677	1112	1456	870	1015	736
Brsk1_-_4690675.23-P1P2	Brsk1	1672	3605	1155	1257	903	1383	1303	1129	1247	1035	978	696	724	639
Pde4c_+_70743148.23-P1	Pde4c	1779	4275	1310	1460	902	1568	1477	1139	1402	1088	1069	661	886	657
Dusp15_+_152951577.23-P1P2	Dusp15	2069	4567	1505	1592	1199	1764	1673	1311	1601	1287	1385	788	1028	933
Guk1_+_59187723.23-P2	Guk1	381	726	235	262	210	300	246	209	344	153	178	100	89	128
Serpina5_-_104101140.23-P1P2	Serpina5	2457	5649	1608	1993	1397	1931	1766	1845	1911	1251	1459	870	1105	896
Uqcrc1_-_108936707.23-P1P2	Uqcrc1	47	73	37	30	14	37	30	23	12	21	30	23	15	21
Ltk_-_119758479.23-P1P2	Ltk	1654	3839	1183	1505	936	1546	1302	1179	1262	1087	1151	734	928	636
Trp53rk_-_166792671.23-P2	Trp53rk	1148	2868	847	1006	605	1125	1019	884	1037	485	759	470	546	362
Prkcdbp_+_105482184.23-P1P2	Prkcdbp	1810	4189	1229	1278	898	1443	1337	1253	1339	1148	1112	727	767	767
Ptprs_-_56462107.23-P2	Ptprs	1500	3627	1152	1210	986	1268	1191	1155	1221	1147	847	550	776	567
Ogdh_+_6291644.23-P1P2	Ogdh	1081	2327	674	941	568	872	710	519	805	804	629	386	476	407
Mast2_-_116464113.23-P1P2	Mast2	819	1961	530	605	518	712	706	541	692	532	546	342	430	376
Serpina1a_+_103863490.23-P1P2	Serpina1a	495	1228	446	474	310	456	425	354	458	114	377	202	220	211
Prps1l1_-_34984777.23-P1P2	Prps1l1	2090	4811	1413	1752	1294	1871	1721	1369	1609	1304	1499	769	967	766
Ass1_+_31470366.23-P1P2	Ass1	3342	7303	2327	2574	1822	2641	2485	2123	2560	2112	2065	1278	1536	1208
Grid1_+_34819817.23-P1P2	Grid1	2297	5225	1585	1900	1186	1909	1914	1519	1629	1522	1405	929	1134	903
Trappc6a_-_19508793.23-P1P2	Trappc6a	1662	3385	1053	1118	790	1234	1134	1064	1225	875	911	601	684	595
Scnn1g_+_121734526.23-P1P2	Scnn1g	244	531	141	175	110	173	179	175	165	143	115	74	127	89
