Guide	Gene	aav3	aav4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	17	18	19	20
Rp2h_-_20364635.23-P1P2	Rp2h	786	789	633	370	458	180	299	515	350	307	417	413	647	202	723	283	398	356	728	517	657
Fbxw5_-_25500829.23-P1P2	Fbxw5	1356	1474	657	331	766	452	259	672	465	496	689	489	538	229	747	474	656	799	1025	776	680
Isl1_-_116309614.23-P1P2	Isl1	1495	1663	752	398	439	970	421	694	675	565	962	547	708	231	1384	955	727	597	1073	772	976
4833403I15Rik_-_46850074.23-P1P2	4833403I15Rik	1191	1175	792	165	368	421	312	956	392	382	734	543	497	176	960	651	519	579	976	722	747
Scfd2_-_74531687.23-P1P2	Scfd2	1390	1467	481	194	622	393	352	632	466	465	696	506	718	259	806	808	525	370	924	821	663
Tmem176b_-_48841038.23-P1P2	Tmem176b	4612	4739	2360	1026	1267	2022	1327	2690	2213	2009	2626	1669	2328	1005	2847	2776	1974	1637	3117	2764	2707
Aph1b_+_66795352.23-P1P2	Aph1b	3824	4296	1700	591	1243	1381	1160	1535	1818	1736	2277	1476	2046	928	2624	1926	1707	1628	2475	2303	2169
Adamts1_+_85803070.23-P1P2	Adamts1	2530	2643	1137	511	422	1389	743	1329	986	771	1523	858	1264	586	1917	1595	1025	789	2001	1812	1291
Ufm1_+_53863781.23-P1P2	Ufm1	716	830	463	147	187	313	289	512	233	392	527	316	317	189	581	403	321	452	510	449	570
Osbpl3_-_50370169.23-ENSMUST00000090019.3	Osbpl3	273	312	205	48	0	109	77	158	76	82	163	82	185	54	294	139	59	203	91	124	178
Mfge8_-_79148955.23-P1P2	Mfge8	4857	5261	2452	872	1665	2645	1502	3117	2420	2237	3042	2310	2959	1172	4245	2279	2159	2348	3367	3223	3441
Syt6_+_103576184.23-P1P2	Syt6	3260	3429	1647	656	1261	1326	938	1957	1435	1353	1680	1341	1932	658	2097	1914	1329	1532	2655	2180	2554
Dpp8_+_65032479.23-P1P2	Dpp8	742	822	327	73	490	323	214	373	300	336	484	429	353	252	694	581	359	284	705	612	410
Pgam5_+_110269808.23-P1P2	Pgam5	1157	1244	522	254	360	408	342	602	488	403	669	564	635	222	963	560	448	315	807	868	527
Amacr_-_10981836.23-P1P2	Amacr	4317	4194	2640	914	1255	1468	1453	2147	2013	2252	2279	1877	2059	933	3236	2705	1737	1611	2856	2666	2301
Mei1_-_82070130.23-P1P2	Mei1	2599	2730	1392	501	1033	1089	759	1333	933	879	1578	913	1230	516	2179	1263	1053	1004	1759	1683	1574
Cfl2_-_54862379.23-P1P2	Cfl2	4344	4593	2145	798	1692	1642	1432	2529	2133	2032	2475	1887	2543	938	3481	2508	2028	1964	3249	2200	2599
March6_+_31530793.23-P1P2	March6	3221	3535	1834	817	1090	1529	940	1672	1592	1612	1923	1400	1914	891	3145	1930	1515	1549	2724	2051	2028
Gpr119_+_48674450.23-P1P2	Gpr119	634	725	452	240	240	385	245	535	307	287	417	305	392	115	422	458	334	231	822	630	545
Ubqlnl_-_104150532.23-P1P2	Ubqlnl	3035	3072	1361	493	487	1069	811	1335	1384	1120	1759	1076	1272	577	1849	1194	1307	976	1878	1747	1898
Lcn8_+_25653375.23-P1P2	Lcn8	1396	1398	615	299	615	808	407	645	630	677	872	564	647	296	1029	451	568	571	1259	843	1144
Serbp1_+_67267055.23-P1P2	Serbp1	3086	3149	1350	703	1233	856	1047	1774	1244	1382	1565	1242	1758	609	2559	1490	1002	1127	2512	2137	1179
Vps18_-_119288752.23-P1P2	Vps18	454	466	167	79	175	43	105	182	177	244	282	155	157	74	505	245	233	226	436	244	157
Kcng3_-_83631886.23-P1P2	Kcng3	1663	1642	1066	257	802	615	487	882	945	723	942	713	813	315	1495	1097	603	877	1159	1046	1015
Plcd4_-_74542920.23-P1P2	Plcd4	1447	1338	643	224	362	369	383	690	477	533	661	450	960	282	1185	631	696	594	1118	911	823
Ube2h_-_30304509.23-P1P2	Ube2h	1869	2105	776	468	690	423	560	1008	970	928	1090	708	1101	407	1604	1186	901	544	1175	1194	1189
Ap3s1_+_46742196.23-P1P2	Ap3s1	3081	3517	1641	467	1212	1510	1065	1807	1603	1625	1972	1511	2102	936	2707	2285	1423	1384	2343	2170	2068
