Guide	Gene	c1	c2	c3	t1	t2	t3	t4
Ncf2_-_152808274.23-P1P2	Ncf2	8318	2980	2310	8122	4431	1432	1001
P4ha2_-_54113220.23-P2	P4ha2	13251	3838	2860	12132	7146	1716	1075
Hspa12a_+_58860905.23-P1P2	Hspa12a	8264	2578	2051	7261	3672	1107	850
Opa1_-_29579403.23-P1P2	Opa1	12317	3304	2667	9561	5412	1275	1026
Hsp90aa1_+_110696331.23-P1P2	Hsp90aa1	3559	1089	829	4498	2352	592	361
Ern1_-_106487805.23-P1P2	Ern1	14730	4188	3115	13399	7190	1813	1415
non-targeting_00042	non-targeting	16193	4968	3663	13835	7602	2281	1577
Hsf2_+_57486452.23-P1P2	Hsf2	12946	3344	2585	10676	7021	1467	899
non-targeting_00826	non-targeting	8784	2637	2071	7767	3750	1131	786
Ahsa1_-_87266791.23-P1P2	Ahsa1	8537	2609	2002	7873	4080	1040	825
P4hb_-_120572798.23-P1P2	P4hb	11134	3502	2752	10693	5295	1616	1116
Ttc30b_+_75938403.23-P1P2	Ttc30b	3336	1049	873	3527	2226	458	299
Sec63_-_42761610.23-P1P2	Sec63	17203	5218	3938	16275	9231	2264	1550
Ctr9_-_111029071.23-P1P2	Ctr9	6141	2123	1693	3563	2537	594	436
non-targeting_00037	non-targeting	8956	2587	1950	7692	4665	1136	840
Ppwd1_+_104228783.23-P1P2	Ppwd1	13304	3847	2974	10592	5825	1569	1117
non-targeting_01346	non-targeting	13999	4156	3189	12118	7354	1791	1425
Grpel2_+_61726292.23-P1P2	Grpel2	1262	413	325	1247	805	191	132
Lrp2bp_-_46010675.23-P1	Lrp2bp	996	350	274	930	629	152	113
Sec63_+_42761822.23-P1P2	Sec63	7505	2342	1798	7218	4836	1160	703
Ttc3_+_94370829.23-P1P2	Ttc3	11743	3323	2530	9826	5424	1425	927
non-targeting_01111	non-targeting	13953	3014	2164	12806	6681	1433	925
non-targeting_00267	non-targeting	18071	5952	4287	16514	10147	2537	2053
Dnajb4_-_152193504.23-P1	Dnajb4	12059	4036	3257	12158	7506	1815	1202
Txnrd3_+_89644079.23-P1P2	Txnrd3	4241	1077	823	3511	2060	452	350
Dnajc15_+_77874864.23-P1P2	Dnajc15	15858	4498	3721	14037	8444	2089	1679
non-targeting_00866	non-targeting	10002	3189	2450	9725	5277	1455	1004
Gtf3c3_+_54438961.23-P1P2	Gtf3c3	5895	1987	1614	5788	2748	780	627
Hspa8_-_40801478.23-P1	Hspa8	9546	2928	2182	4903	3500	929	704
Ptges3_+_128059145.23-P1P2	Ptges3	8983	2239	1659	8277	4094	1065	663
Hsf4_+_105269856.23-P1P2	Hsf4	13019	3988	3073	11330	7222	1713	1287
Dnajc7_+_100619597.23-P1P2	Dnajc7	22006	5687	4419	20646	11361	2581	1910
non-targeting_00003	non-targeting	11855	3072	2336	10748	5930	1472	1076
Cct3_+_88297233.23-P1P2	Cct3	11096	3647	2804	7743	4335	1479	926
Plod1_-_147936690.23-P1P2	Plod1	5580	1668	1426	5746	3147	699	512
Fkbp8_-_70528109.23-P1P2	Fkbp8	13385	4496	3433	11540	6664	1958	1255
Ttc30a2_+_75978157.23-P1P2	Ttc30a2	7044	2211	1801	6577	3451	946	633
non-targeting_00260	non-targeting	12503	3075	2376	10767	5536	1543	958
Klc4_+_46645948.23-P1P2	Klc4	11047	3256	2694	10807	6504	1438	1083
Dnajc5b_-_19508672.23-P1P2	Dnajc5b	13536	4507	3409	11973	6938	1973	1316
Gpsm1_-_26315758.23-P1P2	Gpsm1	14290	4663	3515	6790	4193	1212	985
non-targeting_01070	non-targeting	8921	2664	1949	8412	4631	1059	799
Hspa9_+_34954056.23-P1P2	Hspa9	11955	3325	2576	10121	5735	1369	1047
Hsp90ab1_-_45569712.23-P2	Hsp90ab1	8967	2861	2223	7915	4837	1244	839
Txndc11_+_11134545.23-P1P2	Txndc11	10549	3197	2288	10448	6036	1494	1117
Dnajb4_-_152193769.23-P1	Dnajb4	3894	1470	1201	4162	2028	603	470
Hsp90ab1_+_45573221.23-P1	Hsp90ab1	15916	4425	3457	13018	7438	1851	1447
Uxt_-_20961948.23-P1P2	Uxt	11418	3806	2980	7218	5620	1282	877
Dnajc12_+_63386688.23-P1P2	Dnajc12	8706	2750	2182	8242	4932	1130	905
Ttc33_-_5185786.23-P1P2	Ttc33	12143	3282	2501	11067	5584	1390	984
Ttc13_+_124721910.23-P1P2	Ttc13	11490	3654	2798	10418	5447	1674	1096
Txnrd1_-_82859277.23-P1P2	Txnrd1	9704	3069	2377	8575	5663	1457	936
Hspa4_-_53300402.23-P1P2	Hspa4	16441	4571	3484	14628	8486	2123	1611
non-targeting_01572	non-targeting	4706	1556	1179	4958	2074	610	392
Tmx2_+_84678076.23-P1P2	Tmx2	17175	4912	3739	15687	9922	2190	1578
non-targeting_00857	non-targeting	18600	4612	3525	15902	8540	1906	1366
Dnajc5_+_181520591.23-P1P2	Dnajc5	8503	2759	2035	7583	4622	1246	1036
non-targeting_00569	non-targeting	2	0	0	1	0	0	0
non-targeting_01083	non-targeting	13608	3704	2941	12279	8136	1549	1142
Dnajc10_+_80315743.23-P1P2	Dnajc10	6694	2159	1585	6262	3899	941	676
Ifit2_-_34550718.23-P1P2	Ifit2	12197	4069	3139	12481	6748	1911	1403
non-targeting_00855	non-targeting	2109	637	520	2279	1021	285	247
Hspb9_-_100713973.23-P1P2	Hspb9	12402	4590	3528	11642	5814	2057	1363
Cdc27_+_104550427.23-P1P2	Cdc27	14189	3951	2917	14535	7995	2059	1541
Calr_-_84846826.23-P1P2	Calr	11835	3028	2189	10630	5374	1416	1005
Ttc36_-_44802906.23-P1P2	Ttc36	14776	4174	3242	12883	8227	1753	1275
Hspb2_-_50752244.23-P1P2	Hspb2	12573	4198	3115	11557	6413	1840	1344
Ptgds_+_25469133.23-P1P2	Ptgds	11898	3305	2661	9957	5895	1678	1045
Sacs_+_61173052.23-P1P2	Sacs	17589	5209	4108	15380	9228	2410	1717
Hspb3_-_113663607.23-P1P2	Hspb3	9770	3103	2454	9549	5913	1322	1026
Pfdn4_-_170511448.23-P1P2	Pfdn4	8680	2311	1780	7571	4801	1039	776
Leprel1_+_26105787.23-P1P2	Leprel1	14947	4574	3497	12501	7661	2128	1342
Ttc1_+_43747935.23-P1P2	Ttc1	11998	3770	2953	5747	3988	904	698
Uxt_+_20961773.23-P1P2	Uxt	9434	3077	2333	8663	4721	1535	980
Dnajc15_+_77874885.23-P1P2	Dnajc15	12566	3834	3112	11179	6799	1757	1163
Wdtc1_-_133339098.23-P1P2	Wdtc1	12648	3532	2636	11123	6841	1559	1186
non-targeting_00256	non-targeting	7369	2748	2015	7078	3864	1241	811
Bbs4_+_59353386.23-P1P2	Bbs4	10891	3265	2473	10007	5921	1522	1093
Cct8l1_-_25516161.23-P1P2	Cct8l1	11837	3889	2966	10359	5697	1760	1338
P4ha2_-_54101022.23-P1	P4ha2	4663	1211	918	4167	2678	619	373
Hspb1_-_135888009.23-P1P2	Hspb1	12084	3885	3003	11351	5952	1774	1136
Gpsm2_+_108722244.23-P1P2	Gpsm2	15456	4455	3401	15193	9404	2037	1535
Ttc30a2_-_75978145.23-P1P2	Ttc30a2	7854	2325	1721	6832	3970	1043	688
Ppif_+_25694446.23-P1P2	Ppif	9687	3027	2406	9822	5359	1396	1112
Dnajc15_-_77874873.23-P1P2	Dnajc15	8371	2411	1896	6934	3770	1044	741
