gene	num_tests	frac_tests
Asna1	137	0.14421052631578948
Hgs	202	0.21263157894736842
Mat2a	282	0.2968421052631579
Trappc5	548	0.5768421052631579
Gars	610	0.6421052631578947
Rngtt	651	0.6852631578947368
Caml	833	0.8768421052631579
Cct3	848	0.8926315789473684
Ppp2r1a	865	0.9105263157894736
Ctdp1	875	0.9210526315789473
Hmgcr	883	0.9294736842105263
Atp6v1b2	899	0.9463157894736842
Atp6v1c1	911	0.9589473684210527
Nsf	911	0.9589473684210527
Hspa5	916	0.9642105263157894
Taf1	917	0.9652631578947368
Trappc3	928	0.9768421052631578
Rabggta	930	0.9789473684210526
Trappc1	933	0.9821052631578947
Hars	939	0.988421052631579
Ddx39b	941	0.9905263157894737
Slc18a1	941	0.9905263157894737
Sars	945	0.9947368421052631
Wars	950	1.0
