gene	num_tests	frac_tests	subset
Trappc5	14	0.28	1
Atp6v1b2	15	0.3	1
Caml	19	0.38	1
Ctdp1	20	0.4	1
Cct3	20	0.4	1
Ppp2r1a	21	0.42	1
Nsf	26	0.52	1
Hspa5	26	0.52	1
Wars	28	0.56	1
Atp6v1c1	28	0.56	1
Hmgcr	30	0.6	1
Rngtt	33	0.66	1
Rabggta	33	0.66	1
Slc18a1	34	0.68	1
Trappc3	34	0.68	1
Trappc1	36	0.72	1
Hars	36	0.72	1
Taf1	37	0.74	1
Ddx39b	45	0.9	1
Sars	50	1.0	1
Trappc5	30	0.6	2
Ctdp1	41	0.8200000000000001	2
Caml	42	0.84	2
Atp6v1b2	42	0.84	2
Cct3	42	0.84	2
Rngtt	43	0.86	2
Ppp2r1a	45	0.9	2
Wars	45	0.9	2
Nsf	45	0.9	2
Hspa5	47	0.9400000000000001	2
Taf1	49	0.98	2
Hmgcr	49	0.98	2
Atp6v1c1	50	1.0	2
Slc18a1	50	1.0	2
Rabggta	50	1.0	2
Trappc3	50	1.0	2
Sars	50	1.0	2
Trappc1	50	1.0	2
Ddx39b	50	1.0	2
Hars	50	1.0	2
Trappc5	29	0.58	3
Atp6v1b2	39	0.78	3
Cct3	39	0.78	3
Rngtt	41	0.8200000000000001	3
Ctdp1	41	0.8200000000000001	3
Hspa5	43	0.86	3
Ppp2r1a	43	0.86	3
Wars	45	0.9	3
Ddx39b	46	0.92	3
Caml	47	0.9400000000000001	3
Nsf	48	0.96	3
Trappc3	48	0.96	3
Hars	49	0.98	3
Atp6v1c1	49	0.98	3
Taf1	49	0.98	3
Slc18a1	49	0.98	3
Rabggta	50	1.0	3
Hmgcr	50	1.0	3
Trappc1	50	1.0	3
Sars	50	1.0	3
Trappc5	34	0.68	4
Rngtt	45	0.9	4
Ctdp1	48	0.96	4
Cct3	48	0.96	4
Atp6v1b2	49	0.98	4
Caml	49	0.98	4
Hspa5	49	0.98	4
Atp6v1c1	50	1.0	4
Hars	50	1.0	4
Nsf	50	1.0	4
Wars	50	1.0	4
Trappc3	50	1.0	4
Hmgcr	50	1.0	4
Sars	50	1.0	4
Rabggta	50	1.0	4
Ppp2r1a	50	1.0	4
Ddx39b	50	1.0	4
Taf1	50	1.0	4
Slc18a1	50	1.0	4
Trappc1	50	1.0	4
Trappc5	35	0.7000000000000001	5
Rngtt	41	0.8200000000000001	5
Hspa5	46	0.92	5
Cct3	47	0.9400000000000001	5
Ctdp1	47	0.9400000000000001	5
Atp6v1b2	47	0.9400000000000001	5
Ppp2r1a	49	0.98	5
Wars	49	0.98	5
Rabggta	50	1.0	5
Trappc3	50	1.0	5
Trappc1	50	1.0	5
Slc18a1	50	1.0	5
Hmgcr	50	1.0	5
Ddx39b	50	1.0	5
Caml	50	1.0	5
Taf1	50	1.0	5
Nsf	50	1.0	5
Atp6v1c1	50	1.0	5
Sars	50	1.0	5
Hars	50	1.0	5
Trappc5	38	0.76	6
Ctdp1	45	0.9	6
Rngtt	47	0.9400000000000001	6
Cct3	48	0.96	6
Ppp2r1a	48	0.96	6
Atp6v1b2	48	0.96	6
Nsf	49	0.98	6
Caml	49	0.98	6
Wars	49	0.98	6
Hspa5	49	0.98	6
Taf1	50	1.0	6
Slc18a1	50	1.0	6
Sars	50	1.0	6
Rabggta	50	1.0	6
Trappc3	50	1.0	6
Ddx39b	50	1.0	6
Hars	50	1.0	6
Trappc1	50	1.0	6
Hmgcr	50	1.0	6
Atp6v1c1	50	1.0	6
Trappc5	34	0.68	7
Rngtt	45	0.9	7
Ctdp1	48	0.96	7
Cct3	48	0.96	7
Hspa5	48	0.96	7
Ppp2r1a	49	0.98	7
Atp6v1b2	49	0.98	7
Ddx39b	50	1.0	7
Hmgcr	50	1.0	7
Taf1	50	1.0	7
Hars	50	1.0	7
Nsf	50	1.0	7
Wars	50	1.0	7
Slc18a1	50	1.0	7
Trappc3	50	1.0	7
Caml	50	1.0	7
Trappc1	50	1.0	7
Sars	50	1.0	7
Rabggta	50	1.0	7
Atp6v1c1	50	1.0	7
Trappc5	41	0.8200000000000001	8
Rngtt	47	0.9400000000000001	8
Ctdp1	47	0.9400000000000001	8
Cct3	48	0.96	8
Hspa5	48	0.96	8
Ppp2r1a	50	1.0	8
Sars	50	1.0	8
Hmgcr	50	1.0	8
Slc18a1	50	1.0	8
Nsf	50	1.0	8
Ddx39b	50	1.0	8
Hars	50	1.0	8
Atp6v1b2	50	1.0	8
Caml	50	1.0	8
Trappc1	50	1.0	8
Trappc3	50	1.0	8
Rabggta	50	1.0	8
Atp6v1c1	50	1.0	8
Taf1	50	1.0	8
Wars	50	1.0	8
Trappc5	38	0.76	9
Ctdp1	48	0.96	9
Rngtt	48	0.96	9
Atp6v1b2	49	0.98	9
Nsf	49	0.98	9
Slc18a1	50	1.0	9
Ppp2r1a	50	1.0	9
Atp6v1c1	50	1.0	9
Hspa5	50	1.0	9
Sars	50	1.0	9
Trappc1	50	1.0	9
Hmgcr	50	1.0	9
Wars	50	1.0	9
Caml	50	1.0	9
Rabggta	50	1.0	9
Hars	50	1.0	9
Ddx39b	50	1.0	9
Taf1	50	1.0	9
Cct3	50	1.0	9
Trappc3	50	1.0	9
Trappc5	36	0.72	10
Ppp2r1a	47	0.9400000000000001	10
Hspa5	49	0.98	10
Ctdp1	49	0.98	10
Nsf	49	0.98	10
Atp6v1b2	49	0.98	10
Slc18a1	50	1.0	10
Hmgcr	50	1.0	10
Cct3	50	1.0	10
Sars	50	1.0	10
Atp6v1c1	50	1.0	10
Hars	50	1.0	10
Trappc1	50	1.0	10
Trappc3	50	1.0	10
Wars	50	1.0	10
Rngtt	50	1.0	10
Caml	50	1.0	10
Ddx39b	50	1.0	10
Rabggta	50	1.0	10
Taf1	50	1.0	10
Trappc5	32	0.64	11
Ppp2r1a	49	0.98	11
Atp6v1b2	49	0.98	11
Rngtt	50	1.0	11
Caml	50	1.0	11
Atp6v1c1	50	1.0	11
Ddx39b	50	1.0	11
Hars	50	1.0	11
Wars	50	1.0	11
Trappc3	50	1.0	11
Ctdp1	50	1.0	11
Cct3	50	1.0	11
Taf1	50	1.0	11
Hspa5	50	1.0	11
Slc18a1	50	1.0	11
Hmgcr	50	1.0	11
Rabggta	50	1.0	11
Nsf	50	1.0	11
Trappc1	50	1.0	11
Sars	50	1.0	11
Trappc5	30	0.6	12
Ctdp1	48	0.96	12
Ppp2r1a	49	0.98	12
Ddx39b	50	1.0	12
Nsf	50	1.0	12
Trappc3	50	1.0	12
Sars	50	1.0	12
Rabggta	50	1.0	12
Rngtt	50	1.0	12
Hspa5	50	1.0	12
Cct3	50	1.0	12
Slc18a1	50	1.0	12
Taf1	50	1.0	12
Trappc1	50	1.0	12
Wars	50	1.0	12
Caml	50	1.0	12
Atp6v1c1	50	1.0	12
Hmgcr	50	1.0	12
Atp6v1b2	50	1.0	12
Hars	50	1.0	12
Trappc5	37	0.74	13
Atp6v1c1	50	1.0	13
Ppp2r1a	50	1.0	13
Taf1	50	1.0	13
Trappc1	50	1.0	13
Cct3	50	1.0	13
Wars	50	1.0	13
Hmgcr	50	1.0	13
Hars	50	1.0	13
Rngtt	50	1.0	13
Atp6v1b2	50	1.0	13
Rabggta	50	1.0	13
Ctdp1	50	1.0	13
Sars	50	1.0	13
Ddx39b	50	1.0	13
Nsf	50	1.0	13
Trappc3	50	1.0	13
Slc18a1	50	1.0	13
Hspa5	50	1.0	13
Caml	50	1.0	13
Trappc5	33	0.66	14
Ppp2r1a	49	0.98	14
Rngtt	49	0.98	14
Nsf	50	1.0	14
Ctdp1	50	1.0	14
Rabggta	50	1.0	14
Hmgcr	50	1.0	14
Sars	50	1.0	14
Trappc1	50	1.0	14
Caml	50	1.0	14
Cct3	50	1.0	14
Ddx39b	50	1.0	14
Hspa5	50	1.0	14
Hars	50	1.0	14
Slc18a1	50	1.0	14
Wars	50	1.0	14
Atp6v1b2	50	1.0	14
Trappc3	50	1.0	14
Atp6v1c1	50	1.0	14
Taf1	50	1.0	14
Trappc5	35	0.7000000000000001	15
Ppp2r1a	49	0.98	15
Ctdp1	50	1.0	15
Atp6v1c1	50	1.0	15
Slc18a1	50	1.0	15
Wars	50	1.0	15
Trappc3	50	1.0	15
Nsf	50	1.0	15
Caml	50	1.0	15
Sars	50	1.0	15
Cct3	50	1.0	15
Rabggta	50	1.0	15
Hars	50	1.0	15
Trappc1	50	1.0	15
Rngtt	50	1.0	15
Ddx39b	50	1.0	15
