cohort	replicate	subset	num_overlapping	frac_overlapping
size_1_0	0	1	43	0.7288135593220338
size_1_1	1	1	43	0.7288135593220338
size_1_2	2	1	17	0.288135593220339
size_1_3	3	1	42	0.711864406779661
size_1_4	4	1	42	0.711864406779661
size_1_5	5	1	53	0.8983050847457628
size_1_6	6	1	43	0.7288135593220338
size_1_7	7	1	43	0.7288135593220338
size_1_8	8	1	52	0.8813559322033898
size_1_9	9	1	52	0.8813559322033898
size_1_10	10	1	42	0.711864406779661
size_1_11	11	1	17	0.288135593220339
size_1_12	12	1	42	0.711864406779661
size_1_13	13	1	53	0.8983050847457628
size_1_14	14	1	43	0.7288135593220338
size_1_15	15	1	47	0.7966101694915254
size_1_16	16	1	42	0.711864406779661
size_1_17	17	1	52	0.8813559322033898
size_1_18	18	1	35	0.5932203389830508
size_1_19	19	1	43	0.7288135593220338
size_1_20	20	1	43	0.7288135593220338
size_1_21	21	1	57	0.9661016949152542
size_1_22	22	1	47	0.7966101694915254
size_1_23	23	1	53	0.8983050847457628
size_1_24	24	1	53	0.8983050847457628
size_1_25	25	1	57	0.9661016949152542
size_1_26	26	1	42	0.711864406779661
size_1_27	27	1	52	0.8813559322033898
size_1_28	28	1	43	0.7288135593220338
size_1_29	29	1	43	0.7288135593220338
size_1_30	30	1	42	0.711864406779661
size_1_31	31	1	43	0.7288135593220338
size_1_32	32	1	42	0.711864406779661
size_1_33	33	1	42	0.711864406779661
size_1_34	34	1	52	0.8813559322033898
size_1_35	35	1	35	0.5932203389830508
size_1_36	36	1	57	0.9661016949152542
size_1_37	37	1	57	0.9661016949152542
size_1_38	38	1	52	0.8813559322033898
size_1_39	39	1	42	0.711864406779661
size_1_40	40	1	53	0.8983050847457628
size_1_41	41	1	47	0.7966101694915254
size_1_42	42	1	35	0.5932203389830508
size_1_43	43	1	52	0.8813559322033898
size_1_44	44	1	47	0.7966101694915254
size_1_45	45	1	42	0.711864406779661
size_1_46	46	1	42	0.711864406779661
size_1_47	47	1	43	0.7288135593220338
size_1_48	48	1	42	0.711864406779661
size_1_49	49	1	35	0.5932203389830508
size_2_0	0	2	52	0.8813559322033898
size_2_1	1	2	57	0.9661016949152542
size_2_2	2	2	52	0.8813559322033898
size_2_3	3	2	58	0.9830508474576272
size_2_4	4	2	53	0.8983050847457628
size_2_5	5	2	49	0.8305084745762712
size_2_6	6	2	47	0.7966101694915254
size_2_7	7	2	52	0.8813559322033898
size_2_8	8	2	57	0.9661016949152542
size_2_9	9	2	49	0.8305084745762712
size_2_10	10	2	47	0.7966101694915254
size_2_11	11	2	53	0.8983050847457628
size_2_12	12	2	52	0.8813559322033898
size_2_13	13	2	57	0.9661016949152542
size_2_14	14	2	49	0.8305084745762712
size_2_15	15	2	44	0.7457627118644068
size_2_16	16	2	57	0.9661016949152542
size_2_17	17	2	43	0.7288135593220338
size_2_18	18	2	50	0.847457627118644
size_2_19	19	2	53	0.8983050847457628
size_2_20	20	2	59	1.0
size_2_21	21	2	52	0.8813559322033898
size_2_22	22	2	46	0.7796610169491526
size_2_23	23	2	44	0.7457627118644068
size_2_24	24	2	47	0.7966101694915254
size_2_25	25	2	44	0.7457627118644068
size_2_26	26	2	47	0.7966101694915254
size_2_27	27	2	50	0.847457627118644
size_2_28	28	2	50	0.847457627118644
size_2_29	29	2	48	0.8135593220338984
size_2_30	30	2	52	0.8813559322033898
size_2_31	31	2	50	0.847457627118644
size_2_32	32	2	58	0.9830508474576272
size_2_33	33	2	44	0.7457627118644068
size_2_34	34	2	51	0.864406779661017
size_2_35	35	2	55	0.9322033898305084
size_2_36	36	2	57	0.9661016949152542
size_2_37	37	2	57	0.9661016949152542
size_2_38	38	2	58	0.9830508474576272
size_2_39	39	2	48	0.8135593220338984
size_2_40	40	2	49	0.8305084745762712
size_2_41	41	2	57	0.9661016949152542
size_2_42	42	2	50	0.847457627118644
size_2_43	43	2	57	0.9661016949152542
size_2_44	44	2	56	0.9491525423728814
size_2_45	45	2	54	0.9152542372881356
size_2_46	46	2	56	0.9491525423728814
size_2_47	47	2	53	0.8983050847457628
size_2_48	48	2	58	0.9830508474576272
size_2_49	49	2	58	0.9830508474576272
size_3_0	0	3	54	0.9152542372881356
size_3_1	1	3	44	0.7457627118644068
size_3_2	2	3	57	0.9661016949152542
size_3_3	3	3	57	0.9661016949152542
size_3_4	4	3	56	0.9491525423728814
size_3_5	5	3	54	0.9152542372881356
size_3_6	6	3	50	0.847457627118644
size_3_7	7	3	51	0.864406779661017
size_3_8	8	3	54	0.9152542372881356
size_3_9	9	3	50	0.847457627118644
size_3_10	10	3	59	1.0
size_3_11	11	3	55	0.9322033898305084
size_3_12	12	3	54	0.9152542372881356
size_3_13	13	3	58	0.9830508474576272
size_3_14	14	3	58	0.9830508474576272
size_3_15	15	3	59	1.0
size_3_16	16	3	55	0.9322033898305084
size_3_17	17	3	52	0.8813559322033898
size_3_18	18	3	57	0.9661016949152542
size_3_19	19	3	59	1.0
size_3_20	20	3	59	1.0
size_3_21	21	3	53	0.8983050847457628
size_3_22	22	3	57	0.9661016949152542
size_3_23	23	3	55	0.9322033898305084
size_3_24	24	3	50	0.847457627118644
size_3_25	25	3	58	0.9830508474576272
size_3_26	26	3	53	0.8983050847457628
size_3_27	27	3	55	0.9322033898305084
size_3_28	28	3	53	0.8983050847457628
size_3_29	29	3	49	0.8305084745762712
size_3_30	30	3	55	0.9322033898305084
size_3_31	31	3	57	0.9661016949152542
size_3_32	32	3	51	0.864406779661017
size_3_33	33	3	55	0.9322033898305084
size_3_34	34	3	50	0.847457627118644
size_3_35	35	3	36	0.6101694915254238
size_3_36	36	3	41	0.6949152542372882
size_3_37	37	3	55	0.9322033898305084
size_3_38	38	3	56	0.9491525423728814
size_3_39	39	3	53	0.8983050847457628
size_3_40	40	3	45	0.7627118644067796
size_3_41	41	3	54	0.9152542372881356
size_3_42	42	3	57	0.9661016949152542
size_3_43	43	3	51	0.864406779661017
size_3_44	44	3	55	0.9322033898305084
size_3_45	45	3	56	0.9491525423728814
size_3_46	46	3	55	0.9322033898305084
size_3_47	47	3	57	0.9661016949152542
size_3_48	48	3	46	0.7796610169491526
size_3_49	49	3	55	0.9322033898305084
size_4_0	0	4	55	0.9322033898305084
size_4_1	1	4	49	0.8305084745762712
size_4_2	2	4	57	0.9661016949152542
size_4_3	3	4	55	0.9322033898305084
size_4_4	4	4	55	0.9322033898305084
size_4_5	5	4	47	0.7966101694915254
size_4_6	6	4	56	0.9491525423728814
size_4_7	7	4	59	1.0
size_4_8	8	4	53	0.8983050847457628
size_4_9	9	4	50	0.847457627118644
size_4_10	10	4	56	0.9491525423728814
size_4_11	11	4	50	0.847457627118644
size_4_12	12	4	55	0.9322033898305084
size_4_13	13	4	57	0.9661016949152542
size_4_14	14	4	56	0.9491525423728814
size_4_15	15	4	48	0.8135593220338984
size_4_16	16	4	57	0.9661016949152542
size_4_17	17	4	59	1.0
size_4_18	18	4	57	0.9661016949152542
size_4_19	19	4	56	0.9491525423728814
size_4_20	20	4	55	0.9322033898305084
size_4_21	21	4	59	1.0
size_4_22	22	4	57	0.9661016949152542
size_4_23	23	4	57	0.9661016949152542
size_4_24	24	4	58	0.9830508474576272
size_4_25	25	4	53	0.8983050847457628
size_4_26	26	4	50	0.847457627118644
size_4_27	27	4	58	0.9830508474576272
size_4_28	28	4	52	0.8813559322033898
size_4_29	29	4	56	0.9491525423728814
size_4_30	30	4	51	0.864406779661017
size_4_31	31	4	57	0.9661016949152542
size_4_32	32	4	54	0.9152542372881356
size_4_33	33	4	58	0.9830508474576272
size_4_34	34	4	58	0.9830508474576272
size_4_35	35	4	52	0.8813559322033898
size_4_36	36	4	57	0.9661016949152542
size_4_37	37	4	59	1.0
size_4_38	38	4	57	0.9661016949152542
size_4_39	39	4	58	0.9830508474576272
size_4_40	40	4	55	0.9322033898305084
size_4_41	41	4	50	0.847457627118644
size_4_42	42	4	59	1.0
size_4_43	43	4	58	0.9830508474576272
size_4_44	44	4	56	0.9491525423728814
size_4_45	45	4	56	0.9491525423728814
size_4_46	46	4	56	0.9491525423728814
size_4_47	47	4	52	0.8813559322033898
size_4_48	48	4	59	1.0
size_4_49	49	4	57	0.9661016949152542
size_5_0	0	5	58	0.9830508474576272
size_5_1	1	5	58	0.9830508474576272
size_5_2	2	5	57	0.9661016949152542
size_5_3	3	5	56	0.9491525423728814
size_5_4	4	5	56	0.9491525423728814
size_5_5	5	5	53	0.8983050847457628
size_5_6	6	5	57	0.9661016949152542
size_5_7	7	5	52	0.8813559322033898
size_5_8	8	5	56	0.9491525423728814
size_5_9	9	5	52	0.8813559322033898
size_5_10	10	5	57	0.9661016949152542
size_5_11	11	5	57	0.9661016949152542
size_5_12	12	5	55	0.9322033898305084
size_5_13	13	5	58	0.9830508474576272
size_5_14	14	5	56	0.9491525423728814
size_5_15	15	5	54	0.9152542372881356
size_5_16	16	5	55	0.9322033898305084
size_5_17	17	5	58	0.9830508474576272
size_5_18	18	5	57	0.9661016949152542
size_5_19	19	5	55	0.9322033898305084
size_5_20	20	5	58	0.9830508474576272
size_5_21	21	5	58	0.9830508474576272
size_5_22	22	5	59	1.0
size_5_23	23	5	52	0.8813559322033898
size_5_24	24	5	56	0.9491525423728814
size_5_25	25	5	58	0.9830508474576272
size_5_26	26	5	58	0.9830508474576272
size_5_27	27	5	56	0.9491525423728814
size_5_28	28	5	55	0.9322033898305084
size_5_29	29	5	58	0.9830508474576272
size_5_30	30	5	57	0.9661016949152542
size_5_31	31	5	57	0.9661016949152542
size_5_32	32	5	58	0.9830508474576272
size_5_33	33	5	57	0.9661016949152542
size_5_34	34	5	58	0.9830508474576272
size_5_35	35	5	57	0.9661016949152542
size_5_36	36	5	54	0.9152542372881356
size_5_37	37	5	53	0.8983050847457628
size_5_38	38	5	59	1.0
size_5_39	39	5	58	0.9830508474576272
size_5_40	40	5	55	0.9322033898305084
size_5_41	41	5	55	0.9322033898305084
size_5_42	42	5	50	0.847457627118644
size_5_43	43	5	56	0.9491525423728814
size_5_44	44	5	57	0.9661016949152542
size_5_45	45	5	54	0.9152542372881356
size_5_46	46	5	56	0.9491525423728814
size_5_47	47	5	52	0.8813559322033898
size_5_48	48	5	59	1.0
size_5_49	49	5	56	0.9491525423728814
size_6_0	0	6	57	0.9661016949152542
size_6_1	1	6	57	0.9661016949152542
size_6_2	2	6	58	0.9830508474576272
size_6_3	3	6	54	0.9152542372881356
size_6_4	4	6	58	0.9830508474576272
size_6_5	5	6	56	0.9491525423728814
size_6_6	6	6	55	0.9322033898305084
size_6_7	7	6	54	0.9152542372881356
size_6_8	8	6	55	0.9322033898305084
size_6_9	9	6	56	0.9491525423728814
size_6_10	10	6	56	0.9491525423728814
size_6_11	11	6	59	1.0
size_6_12	12	6	56	0.9491525423728814
size_6_13	13	6	58	0.9830508474576272
size_6_14	14	6	57	0.9661016949152542
size_6_15	15	6	58	0.9830508474576272
size_6_16	16	6	57	0.9661016949152542
size_6_17	17	6	55	0.9322033898305084
size_6_18	18	6	57	0.9661016949152542
size_6_19	19	6	57	0.9661016949152542
size_6_20	20	6	59	1.0
size_6_21	21	6	59	1.0
size_6_22	22	6	55	0.9322033898305084
size_6_23	23	6	58	0.9830508474576272
size_6_24	24	6	55	0.9322033898305084
size_6_25	25	6	56	0.9491525423728814
size_6_26	26	6	58	0.9830508474576272
size_6_27	27	6	57	0.9661016949152542
size_6_28	28	6	56	0.9491525423728814
size_6_29	29	6	57	0.9661016949152542
size_6_30	30	6	55	0.9322033898305084
size_6_31	31	6	57	0.9661016949152542
size_6_32	32	6	58	0.9830508474576272
size_6_33	33	6	59	1.0
size_6_34	34	6	57	0.9661016949152542
size_6_35	35	6	53	0.8983050847457628
size_6_36	36	6	58	0.9830508474576272
size_6_37	37	6	59	1.0
size_6_38	38	6	55	0.9322033898305084
size_6_39	39	6	56	0.9491525423728814
size_6_40	40	6	59	1.0
size_6_41	41	6	58	0.9830508474576272
size_6_42	42	6	54	0.9152542372881356
size_6_43	43	6	59	1.0
size_6_44	44	6	58	0.9830508474576272
size_6_45	45	6	59	1.0
size_6_46	46	6	58	0.9830508474576272
size_6_47	47	6	55	0.9322033898305084
size_6_48	48	6	55	0.9322033898305084
size_6_49	49	6	57	0.9661016949152542
size_7_0	0	7	53	0.8983050847457628
size_7_1	1	7	59	1.0
size_7_2	2	7	57	0.9661016949152542
size_7_3	3	7	55	0.9322033898305084
size_7_4	4	7	58	0.9830508474576272
size_7_5	5	7	54	0.9152542372881356
