cohort	replicate	subset	num_overlapping	frac_overlapping
size_1_1	1	1	6	0.2857142857142857
size_1_2	2	1	1	0.047619047619047616
size_1_3	3	1	1	0.047619047619047616
size_1_5	5	1	6	0.2857142857142857
size_1_6	6	1	6	0.2857142857142857
size_1_8	8	1	1	0.047619047619047616
size_1_9	9	1	3	0.14285714285714285
size_1_13	13	1	3	0.14285714285714285
size_1_14	14	1	6	0.2857142857142857
size_1_15	15	1	0	0.0
size_1_16	16	1	6	0.2857142857142857
size_1_17	17	1	6	0.2857142857142857
size_1_18	18	1	0	0.0
size_1_19	19	1	4	0.19047619047619047
size_1_22	22	1	0	0.0
size_1_24	24	1	6	0.2857142857142857
size_1_26	26	1	6	0.2857142857142857
size_1_28	28	1	6	0.2857142857142857
size_1_29	29	1	4	0.19047619047619047
size_1_30	30	1	6	0.2857142857142857
size_1_31	31	1	6	0.2857142857142857
size_1_32	32	1	1	0.047619047619047616
size_1_35	35	1	6	0.2857142857142857
size_1_36	36	1	6	0.2857142857142857
size_1_38	38	1	6	0.2857142857142857
size_1_39	39	1	6	0.2857142857142857
size_1_40	40	1	3	0.14285714285714285
size_1_41	41	1	0	0.0
size_1_43	43	1	6	0.2857142857142857
size_1_44	44	1	4	0.19047619047619047
size_1_45	45	1	3	0.14285714285714285
size_1_46	46	1	1	0.047619047619047616
size_1_47	47	1	6	0.2857142857142857
size_1_48	48	1	6	0.2857142857142857
size_1_49	49	1	0	0.0
size_2_0	0	2	1	0.047619047619047616
size_2_1	1	2	2	0.09523809523809523
size_2_2	2	2	9	0.42857142857142855
size_2_3	3	2	5	0.23809523809523808
size_2_4	4	2	5	0.23809523809523808
size_2_5	5	2	1	0.047619047619047616
size_2_6	6	2	6	0.2857142857142857
size_2_7	7	2	3	0.14285714285714285
size_2_8	8	2	9	0.42857142857142855
size_2_9	9	2	10	0.47619047619047616
size_2_10	10	2	14	0.6666666666666666
size_2_11	11	2	6	0.2857142857142857
size_2_12	12	2	2	0.09523809523809523
size_2_14	14	2	10	0.47619047619047616
size_2_15	15	2	5	0.23809523809523808
size_2_16	16	2	11	0.5238095238095237
size_2_17	17	2	10	0.47619047619047616
size_2_18	18	2	4	0.19047619047619047
size_2_19	19	2	12	0.5714285714285714
size_2_20	20	2	9	0.42857142857142855
size_2_22	22	2	2	0.09523809523809523
size_2_23	23	2	10	0.47619047619047616
size_2_24	24	2	9	0.42857142857142855
size_2_26	26	2	10	0.47619047619047616
size_2_27	27	2	1	0.047619047619047616
size_2_28	28	2	11	0.5238095238095237
size_2_29	29	2	8	0.38095238095238093
size_2_30	30	2	2	0.09523809523809523
size_2_31	31	2	1	0.047619047619047616
size_2_32	32	2	2	0.09523809523809523
size_2_34	34	2	2	0.09523809523809523
size_2_35	35	2	6	0.2857142857142857
size_2_36	36	2	7	0.3333333333333333
size_2_37	37	2	5	0.23809523809523808
size_2_39	39	2	1	0.047619047619047616
size_2_40	40	2	6	0.2857142857142857
size_2_41	41	2	2	0.09523809523809523
size_2_42	42	2	12	0.5714285714285714
size_2_43	43	2	12	0.5714285714285714
size_2_44	44	2	11	0.5238095238095237
size_2_45	45	2	11	0.5238095238095237
size_2_46	46	2	6	0.2857142857142857
size_2_49	49	2	6	0.2857142857142857
size_3_0	0	3	11	0.5238095238095237
size_3_1	1	3	5	0.23809523809523808
size_3_2	2	3	7	0.3333333333333333
size_3_3	3	3	6	0.2857142857142857
size_3_4	4	3	9	0.42857142857142855
size_3_5	5	3	6	0.2857142857142857
size_3_6	6	3	3	0.14285714285714285
size_3_7	7	3	5	0.23809523809523808
size_3_8	8	3	1	0.047619047619047616
size_3_9	9	3	10	0.47619047619047616
size_3_10	10	3	10	0.47619047619047616
size_3_11	11	3	4	0.19047619047619047
size_3_12	12	3	4	0.19047619047619047
size_3_13	13	3	6	0.2857142857142857
size_3_14	14	3	6	0.2857142857142857
size_3_15	15	3	5	0.23809523809523808
size_3_16	16	3	3	0.14285714285714285
size_3_17	17	3	10	0.47619047619047616
size_3_18	18	3	13	0.6190476190476191
size_3_19	19	3	4	0.19047619047619047
size_3_20	20	3	7	0.3333333333333333
size_3_21	21	3	6	0.2857142857142857
size_3_22	22	3	1	0.047619047619047616
size_3_23	23	3	8	0.38095238095238093
size_3_24	24	3	5	0.23809523809523808
size_3_25	25	3	10	0.47619047619047616
size_3_26	26	3	3	0.14285714285714285
size_3_27	27	3	8	0.38095238095238093
size_3_28	28	3	10	0.47619047619047616
size_3_29	29	3	9	0.42857142857142855
size_3_30	30	3	5	0.23809523809523808
size_3_31	31	3	12	0.5714285714285714
size_3_32	32	3	6	0.2857142857142857
size_3_33	33	3	13	0.6190476190476191
size_3_34	34	3	7	0.3333333333333333
size_3_36	36	3	4	0.19047619047619047
size_3_37	37	3	8	0.38095238095238093
size_3_38	38	3	5	0.23809523809523808
size_3_39	39	3	11	0.5238095238095237
size_3_40	40	3	11	0.5238095238095237
size_3_41	41	3	14	0.6666666666666666
size_3_42	42	3	6	0.2857142857142857
size_3_44	44	3	2	0.09523809523809523
size_3_45	45	3	18	0.8571428571428571
size_3_46	46	3	6	0.2857142857142857
size_3_47	47	3	4	0.19047619047619047
size_3_48	48	3	5	0.23809523809523808
size_3_49	49	3	12	0.5714285714285714
size_4_0	0	4	8	0.38095238095238093
size_4_1	1	4	4	0.19047619047619047
size_4_2	2	4	5	0.23809523809523808
size_4_3	3	4	14	0.6666666666666666
size_4_4	4	4	6	0.2857142857142857
size_4_5	5	4	5	0.23809523809523808
size_4_6	6	4	10	0.47619047619047616
size_4_7	7	4	19	0.9047619047619047
size_4_9	9	4	4	0.19047619047619047
size_4_10	10	4	12	0.5714285714285714
size_4_11	11	4	10	0.47619047619047616
size_4_12	12	4	16	0.7619047619047619
size_4_13	13	4	8	0.38095238095238093
size_4_14	14	4	2	0.09523809523809523
size_4_15	15	4	11	0.5238095238095237
size_4_16	16	4	16	0.7619047619047619
size_4_17	17	4	3	0.14285714285714285
size_4_18	18	4	10	0.47619047619047616
size_4_19	19	4	8	0.38095238095238093
size_4_20	20	4	16	0.7619047619047619
size_4_21	21	4	15	0.7142857142857142
size_4_22	22	4	10	0.47619047619047616
size_4_23	23	4	13	0.6190476190476191
size_4_24	24	4	11	0.5238095238095237
size_4_26	26	4	8	0.38095238095238093
size_4_27	27	4	9	0.42857142857142855
size_4_28	28	4	4	0.19047619047619047
size_4_29	29	4	8	0.38095238095238093
size_4_30	30	4	15	0.7142857142857142
size_4_31	31	4	8	0.38095238095238093
size_4_32	32	4	10	0.47619047619047616
size_4_33	33	4	5	0.23809523809523808
size_4_34	34	4	4	0.19047619047619047
size_4_35	35	4	12	0.5714285714285714
size_4_36	36	4	6	0.2857142857142857
size_4_37	37	4	7	0.3333333333333333
size_4_38	38	4	4	0.19047619047619047
size_4_39	39	4	3	0.14285714285714285
size_4_40	40	4	5	0.23809523809523808
size_4_41	41	4	12	0.5714285714285714
size_4_42	42	4	13	0.6190476190476191
size_4_43	43	4	12	0.5714285714285714
size_4_44	44	4	14	0.6666666666666666
size_4_45	45	4	10	0.47619047619047616
size_4_46	46	4	7	0.3333333333333333
size_4_47	47	4	13	0.6190476190476191
size_4_49	49	4	5	0.23809523809523808
size_5_0	0	5	9	0.42857142857142855
size_5_1	1	5	9	0.42857142857142855
size_5_2	2	5	17	0.8095238095238095
size_5_3	3	5	15	0.7142857142857142
size_5_4	4	5	5	0.23809523809523808
size_5_5	5	5	15	0.7142857142857142
size_5_6	6	5	6	0.2857142857142857
size_5_7	7	5	3	0.14285714285714285
size_5_8	8	5	7	0.3333333333333333
size_5_9	9	5	16	0.7619047619047619
size_5_10	10	5	11	0.5238095238095237
size_5_11	11	5	1	0.047619047619047616
size_5_12	12	5	14	0.6666666666666666
size_5_13	13	5	4	0.19047619047619047
size_5_14	14	5	18	0.8571428571428571
size_5_15	15	5	12	0.5714285714285714
size_5_16	16	5	15	0.7142857142857142
size_5_17	17	5	7	0.3333333333333333
size_5_18	18	5	19	0.9047619047619047
size_5_19	19	5	12	0.5714285714285714
size_5_20	20	5	17	0.8095238095238095
size_5_21	21	5	11	0.5238095238095237
size_5_22	22	5	7	0.3333333333333333
size_5_23	23	5	15	0.7142857142857142
size_5_24	24	5	8	0.38095238095238093
size_5_25	25	5	9	0.42857142857142855
size_5_26	26	5	10	0.47619047619047616
size_5_27	27	5	11	0.5238095238095237
size_5_28	28	5	15	0.7142857142857142
size_5_29	29	5	7	0.3333333333333333
size_5_30	30	5	7	0.3333333333333333
size_5_32	32	5	7	0.3333333333333333
size_5_33	33	5	11	0.5238095238095237
size_5_34	34	5	17	0.8095238095238095
size_5_35	35	5	8	0.38095238095238093
size_5_36	36	5	14	0.6666666666666666
size_5_37	37	5	5	0.23809523809523808
size_5_38	38	5	17	0.8095238095238095
size_5_39	39	5	7	0.3333333333333333
size_5_40	40	5	6	0.2857142857142857
size_5_41	41	5	10	0.47619047619047616
size_5_42	42	5	19	0.9047619047619047
size_5_43	43	5	14	0.6666666666666666
size_5_44	44	5	4	0.19047619047619047
size_5_45	45	5	15	0.7142857142857142
size_5_46	46	5	6	0.2857142857142857
size_5_47	47	5	14	0.6666666666666666
size_5_48	48	5	18	0.8571428571428571
size_5_49	49	5	14	0.6666666666666666
size_6_0	0	6	11	0.5238095238095237
size_6_1	1	6	16	0.7619047619047619
size_6_2	2	6	8	0.38095238095238093
size_6_3	3	6	10	0.47619047619047616
size_6_4	4	6	17	0.8095238095238095
size_6_5	5	6	9	0.42857142857142855
size_6_6	6	6	12	0.5714285714285714
size_6_7	7	6	11	0.5238095238095237
size_6_8	8	6	13	0.6190476190476191
size_6_9	9	6	10	0.47619047619047616
size_6_10	10	6	18	0.8571428571428571
size_6_11	11	6	12	0.5714285714285714
size_6_12	12	6	11	0.5238095238095237
size_6_13	13	6	10	0.47619047619047616
size_6_14	14	6	10	0.47619047619047616
size_6_15	15	6	6	0.2857142857142857
size_6_16	16	6	16	0.7619047619047619
size_6_17	17	6	13	0.6190476190476191
size_6_18	18	6	10	0.47619047619047616
size_6_19	19	6	6	0.2857142857142857
size_6_20	20	6	8	0.38095238095238093
size_6_21	21	6	18	0.8571428571428571
size_6_22	22	6	17	0.8095238095238095
size_6_23	23	6	9	0.42857142857142855
size_6_24	24	6	17	0.8095238095238095
size_6_25	25	6	11	0.5238095238095237
size_6_26	26	6	14	0.6666666666666666
size_6_27	27	6	5	0.23809523809523808
size_6_28	28	6	8	0.38095238095238093
size_6_29	29	6	7	0.3333333333333333
size_6_30	30	6	16	0.7619047619047619
size_6_31	31	6	16	0.7619047619047619
size_6_32	32	6	13	0.6190476190476191
size_6_33	33	6	6	0.2857142857142857
size_6_34	34	6	8	0.38095238095238093
size_6_35	35	6	13	0.6190476190476191
size_6_36	36	6	6	0.2857142857142857
size_6_37	37	6	7	0.3333333333333333
size_6_38	38	6	10	0.47619047619047616
size_6_39	39	6	15	0.7142857142857142
size_6_40	40	6	17	0.8095238095238095
size_6_41	41	6	7	0.3333333333333333
size_6_42	42	6	9	0.42857142857142855
size_6_43	43	6	11	0.5238095238095237
size_6_44	44	6	9	0.42857142857142855
size_6_45	45	6	7	0.3333333333333333
size_6_46	46	6	10	0.47619047619047616
size_6_47	47	6	13	0.6190476190476191
size_6_48	48	6	8	0.38095238095238093
size_6_49	49	6	12	0.5714285714285714
size_7_0	0	7	9	0.42857142857142855
size_7_1	1	7	14	0.6666666666666666
size_7_2	2	7	17	0.8095238095238095
size_7_3	3	7	10	0.47619047619047616
size_7_4	4	7	14	0.6666666666666666
size_7_5	5	7	14	0.6666666666666666
size_7_6	6	7	13	0.6190476190476191
size_7_7	7	7	11	0.5238095238095237
size_7_8	8	7	17	0.8095238095238095
size_7_9	9	7	17	0.8095238095238095
size_7_10	10	7	18	0.8571428571428571
size_7_11	11	7	13	0.6190476190476191
size_7_12	12	7	15	0.7142857142857142
size_7_13	13	7	19	0.9047619047619047
size_7_14	14	7	16	0.7619047619047619
size_7_15	15	7	18	0.8571428571428571
size_7_16	16	7	6	0.2857142857142857
size_7_17	17	7	5	0.23809523809523808
size_7_18	18	7	11	0.5238095238095237
size_7_19	19	7	8	0.38095238095238093
size_7_20	20	7	17	0.8095238095238095
size_7_21	21	7	11	0.5238095238095237
size_7_22	22	7	10	0.47619047619047616
size_7_23	23	7	10	0.47619047619047616
size_7_24	24	7	18	0.8571428571428571
size_7_25	25	7	5	0.23809523809523808
size_7_26	26	7	15	0.7142857142857142
size_7_27	27	7	9	0.42857142857142855
size_7_28	28	7	12	0.5714285714285714
size_7_29	29	7	15	0.7142857142857142
size_7_30	30	7	19	0.9047619047619047
size_7_31	31	7	12	0.5714285714285714
size_7_32	32	7	18	0.8571428571428571
size_7_33	33	7	15	0.7142857142857142
size_7_34	34	7	18	0.8571428571428571
size_7_35	35	7	17	0.8095238095238095
size_7_36	36	7	9	0.42857142857142855
size_7_37	37	7	18	0.8571428571428571
size_7_38	38	7	11	0.5238095238095237
size_7_39	39	7	11	0.5238095238095237
size_7_40	40	7	14	0.6666666666666666
size_7_41	41	7	15	0.7142857142857142
size_7_42	42	7	19	0.9047619047619047
size_7_43	43	7	18	0.8571428571428571
size_7_44	44	7	15	0.7142857142857142
size_7_45	45	7	9	0.42857142857142855
