gene	num_tests	frac_tests
Hmgcs1	190	0.38854805725971375
Trappc5	191	0.3905930470347649
Sacm1l	228	0.46625766871165647
Rngtt	273	0.5582822085889572
Gars	297	0.6073619631901841
Trappc1	332	0.6789366053169735
Ctdp1	344	0.703476482617587
Ptpn23	350	0.7157464212678937
Atp6v1c1	378	0.7730061349693252
Nsf	384	0.785276073619632
Caml	390	0.7975460122699387
Slc18a1_P1	396	0.8098159509202455
Hspa5	397	0.8118609406952966
Trappc3	397	0.8118609406952966
Rabggta	410	0.8384458077709612
Taf1	411	0.8404907975460123
Hmgcr	412	0.8425357873210635
Atp6v1b2	423	0.8650306748466259
Wars	437	0.8936605316973416
Rpia	438	0.8957055214723927
Ddx39b	465	0.9509202453987731
Sars	478	0.9775051124744377
Hars	478	0.9775051124744377
