gene	num_tests	frac_tests	subset
Trappc3	1	0.02564102564102564	1
Atp6v1b2	1	0.02564102564102564	1
Sacm1l	1	0.02564102564102564	1
Atp6v1c1	1	0.02564102564102564	1
Ptpn23	1	0.02564102564102564	1
Gars	4	0.10256410256410256	1
Taf1	5	0.1282051282051282	1
Ctdp1	11	0.28205128205128205	1
Rpia	11	0.28205128205128205	1
Caml	11	0.28205128205128205	1
Hmgcr	14	0.358974358974359	1
Slc18a1_P1	14	0.358974358974359	1
Nsf	16	0.41025641025641024	1
Wars	18	0.4615384615384615	1
Rabggta	19	0.48717948717948717	1
Hspa5	22	0.5641025641025641	1
Ddx39b	24	0.6153846153846154	1
Hars	31	0.7948717948717948	1
Sars	34	0.8717948717948718	1
Trappc5	8	0.16	2
Sacm1l	9	0.18	2
Trappc1	10	0.2	2
Hmgcs1	10	0.2	2
Gars	12	0.24	2
Ctdp1	15	0.3	2
Slc18a1_P1	17	0.34	2
Hspa5	18	0.36	2
Nsf	20	0.4	2
Trappc3	20	0.4	2
Rngtt	20	0.4	2
Caml	21	0.42	2
Hmgcr	22	0.44	2
Atp6v1c1	23	0.46	2
Ptpn23	24	0.48	2
Rabggta	25	0.5	2
Taf1	26	0.52	2
Wars	31	0.62	2
Rpia	35	0.7000000000000001	2
Atp6v1b2	38	0.76	2
Sars	47	0.9400000000000001	2
Ddx39b	47	0.9400000000000001	2
Hars	48	0.96	2
Sacm1l	7	0.14	3
Trappc5	8	0.16	3
Hmgcs1	8	0.16	3
Trappc1	12	0.24	3
Rngtt	12	0.24	3
Ctdp1	14	0.28	3
Gars	18	0.36	3
Ptpn23	22	0.44	3
Atp6v1c1	23	0.46	3
Nsf	23	0.46	3
Slc18a1_P1	26	0.52	3
Hspa5	27	0.54	3
Caml	28	0.56	3
Rabggta	31	0.62	3
Taf1	33	0.66	3
Hmgcr	33	0.66	3
Trappc3	33	0.66	3
Atp6v1b2	35	0.7000000000000001	3
Wars	38	0.76	3
Rpia	42	0.84	3
Ddx39b	44	0.88	3
Sars	47	0.9400000000000001	3
Hars	49	0.98	3
Trappc5	17	0.34	4
Hmgcs1	18	0.36	4
Sacm1l	18	0.36	4
Rngtt	26	0.52	4
Gars	28	0.56	4
Ctdp1	30	0.6	4
Trappc1	35	0.7000000000000001	4
Nsf	37	0.74	4
Atp6v1c1	38	0.76	4
Ptpn23	39	0.78	4
Hspa5	41	0.8200000000000001	4
Rabggta	44	0.88	4
Slc18a1_P1	44	0.88	4
Trappc3	45	0.9	4
Caml	46	0.92	4
Taf1	47	0.9400000000000001	4
Hmgcr	48	0.96	4
Sars	50	1.0	4
Wars	50	1.0	4
Rpia	50	1.0	4
Atp6v1b2	50	1.0	4
Hars	50	1.0	4
Ddx39b	50	1.0	4
Sacm1l	16	0.32	5
Trappc5	17	0.34	5
Hmgcs1	19	0.38	5
Rngtt	19	0.38	5
Gars	30	0.6	5
Trappc1	34	0.68	5
Ctdp1	34	0.68	5
Caml	37	0.74	5
Ptpn23	38	0.76	5
Nsf	42	0.84	5
Rabggta	42	0.84	5
Hspa5	42	0.84	5
Atp6v1c1	43	0.86	5
Slc18a1_P1	45	0.9	5
Hmgcr	45	0.9	5
Trappc3	48	0.96	5
Atp6v1b2	49	0.98	5
Wars	50	1.0	5
Rpia	50	1.0	5
Sars	50	1.0	5
Hars	50	1.0	5
Ddx39b	50	1.0	5
Taf1	50	1.0	5
Hmgcs1	13	0.26	6
Trappc5	15	0.3	6
Sacm1l	27	0.54	6
Gars	31	0.62	6
Rngtt	35	0.7000000000000001	6
Ptpn23	40	0.8	6
Trappc1	43	0.86	6
Nsf	47	0.9400000000000001	6
Ctdp1	47	0.9400000000000001	6
Hspa5	48	0.96	6
Caml	49	0.98	6
Rabggta	49	0.98	6
Wars	50	1.0	6
Taf1	50	1.0	6
Atp6v1c1	50	1.0	6
Ddx39b	50	1.0	6
Atp6v1b2	50	1.0	6
Hmgcr	50	1.0	6
Slc18a1_P1	50	1.0	6
Trappc3	50	1.0	6
Sars	50	1.0	6
Hars	50	1.0	6
Rpia	50	1.0	6
Hmgcs1	21	0.42	7
Trappc5	23	0.46	7
Sacm1l	26	0.52	7
Rngtt	29	0.58	7
Gars	34	0.68	7
Ptpn23	43	0.86	7
Ctdp1	43	0.86	7
Trappc1	48	0.96	7
Caml	48	0.96	7
Nsf	49	0.98	7
Hspa5	49	0.98	7
Hars	50	1.0	7
Taf1	50	1.0	7
Atp6v1b2	50	1.0	7
Slc18a1_P1	50	1.0	7
Rpia	50	1.0	7
Ddx39b	50	1.0	7
Wars	50	1.0	7
Hmgcr	50	1.0	7
Atp6v1c1	50	1.0	7
Sars	50	1.0	7
Trappc3	50	1.0	7
Rabggta	50	1.0	7
Hmgcs1	24	0.48	8
Trappc5	28	0.56	8
Gars	40	0.8	8
Sacm1l	40	0.8	8
Rngtt	43	0.86	8
Ptpn23	46	0.92	8
Slc18a1_P1	50	1.0	8
Taf1	50	1.0	8
Rpia	50	1.0	8
Wars	50	1.0	8
Rabggta	50	1.0	8
Hars	50	1.0	8
Atp6v1b2	50	1.0	8
Atp6v1c1	50	1.0	8
Ctdp1	50	1.0	8
Ddx39b	50	1.0	8
Nsf	50	1.0	8
Trappc3	50	1.0	8
Caml	50	1.0	8
Hspa5	50	1.0	8
Sars	50	1.0	8
Trappc1	50	1.0	8
Hmgcr	50	1.0	8
Trappc5	35	0.7000000000000001	9
Sacm1l	37	0.74	9
Hmgcs1	39	0.78	9
Rngtt	42	0.84	9
Ptpn23	47	0.9400000000000001	9
Hars	50	1.0	9
Trappc1	50	1.0	9
Atp6v1c1	50	1.0	9
Rpia	50	1.0	9
Caml	50	1.0	9
Slc18a1_P1	50	1.0	9
Wars	50	1.0	9
Gars	50	1.0	9
Taf1	50	1.0	9
Hspa5	50	1.0	9
Ddx39b	50	1.0	9
Sars	50	1.0	9
Trappc3	50	1.0	9
Hmgcr	50	1.0	9
Ctdp1	50	1.0	9
Nsf	50	1.0	9
Rabggta	50	1.0	9
Atp6v1b2	50	1.0	9
Hmgcs1	38	0.76	10
Trappc5	40	0.8	10
Rngtt	47	0.9400000000000001	10
Sacm1l	47	0.9400000000000001	10
Atp6v1b2	50	1.0	10
Nsf	50	1.0	10
Taf1	50	1.0	10
Hars	50	1.0	10
Slc18a1_P1	50	1.0	10
Ctdp1	50	1.0	10
Hmgcr	50	1.0	10
Trappc1	50	1.0	10
Sars	50	1.0	10
Atp6v1c1	50	1.0	10
Wars	50	1.0	10
Ddx39b	50	1.0	10
Caml	50	1.0	10
Gars	50	1.0	10
Rpia	50	1.0	10
Trappc3	50	1.0	10
Hspa5	50	1.0	10
Ptpn23	50	1.0	10
Rabggta	50	1.0	10
