cohort	replicate	subset	num_overlapping	frac_overlapping
size_1_0	0	1	9	0.08653846153846154
size_1_1	1	1	17	0.16346153846153846
size_1_2	2	1	46	0.44230769230769235
size_1_3	3	1	42	0.40384615384615385
size_1_4	4	1	12	0.11538461538461539
size_1_5	5	1	1	0.009615384615384616
size_1_6	6	1	14	0.13461538461538464
size_1_7	7	1	46	0.44230769230769235
size_1_8	8	1	42	0.40384615384615385
size_1_9	9	1	46	0.44230769230769235
size_1_10	10	1	46	0.44230769230769235
size_1_11	11	1	17	0.16346153846153846
size_1_12	12	1	60	0.576923076923077
size_1_13	13	1	67	0.6442307692307693
size_1_14	14	1	29	0.27884615384615385
size_1_15	15	1	50	0.4807692307692308
size_1_16	16	1	44	0.42307692307692313
size_1_17	17	1	37	0.3557692307692308
size_1_18	18	1	46	0.44230769230769235
size_1_19	19	1	60	0.576923076923077
size_1_20	20	1	67	0.6442307692307693
size_1_21	21	1	32	0.3076923076923077
size_1_22	22	1	17	0.16346153846153846
size_1_23	23	1	42	0.40384615384615385
size_1_24	24	1	37	0.3557692307692308
size_1_25	25	1	46	0.44230769230769235
size_1_26	26	1	37	0.3557692307692308
size_1_27	27	1	37	0.3557692307692308
size_1_28	28	1	37	0.3557692307692308
size_1_29	29	1	42	0.40384615384615385
size_1_30	30	1	30	0.2884615384615385
size_1_31	31	1	46	0.44230769230769235
size_1_32	32	1	46	0.44230769230769235
size_1_33	33	1	32	0.3076923076923077
size_1_34	34	1	42	0.40384615384615385
size_1_35	35	1	44	0.42307692307692313
size_1_36	36	1	50	0.4807692307692308
size_1_37	37	1	46	0.44230769230769235
size_1_38	38	1	50	0.4807692307692308
size_1_39	39	1	50	0.4807692307692308
size_1_40	40	1	44	0.42307692307692313
size_1_41	41	1	14	0.13461538461538464
size_1_42	42	1	14	0.13461538461538464
size_1_43	43	1	17	0.16346153846153846
size_1_44	44	1	9	0.08653846153846154
size_1_45	45	1	46	0.44230769230769235
size_1_46	46	1	46	0.44230769230769235
size_1_47	47	1	17	0.16346153846153846
size_1_48	48	1	1	0.009615384615384616
size_1_49	49	1	14	0.13461538461538464
size_2_0	0	2	19	0.1826923076923077
size_2_1	1	2	55	0.5288461538461539
size_2_2	2	2	70	0.6730769230769231
