gene	num_tests	frac_tests	subset
Prpf8	1	0.02	1
Hist1h2bk	1	0.02	1
Igfbp4_P2	2	0.04	1
Abhd14b	2	0.04	1
Nlrp14	2	0.04	1
Adam20	2	0.04	1
Dmxl2	2	0.04	1
Ykt6	2	0.04	1
Fbxl16	2	0.04	1
Copg1	2	0.04	1
Osbpl7	2	0.04	1
Cblb	2	0.04	1
Prpf3	2	0.04	1
Fbxw18	3	0.06	1
Foxred1	3	0.06	1
Stam2	4	0.08	1
Arl8b	4	0.08	1
Cct4	5	0.1	1
Becn1	5	0.1	1
Sbno1	5	0.1	1
Abhd2	5	0.1	1
Rps25	5	0.1	1
C2	6	0.12	1
Ttc1	6	0.12	1
Cct6b	6	0.12	1
Htt	6	0.12	1
Fam19a1	6	0.12	1
Fbxl12	8	0.16	1
Arl2	8	0.16	1
H2-Ke2	8	0.16	1
Cfdp1	9	0.18	1
Gmppb	10	0.2	1
Stx18	10	0.2	1
Atp6v0e	10	0.2	1
Pla2g2c	10	0.2	1
Snx20	12	0.24	1
H2afz	12	0.24	1
Nus1	12	0.24	1
Rbbp6	13	0.26	1
Cct7	14	0.28	1
Asb17	14	0.28	1
Cct5	15	0.3	1
Wdr25	15	0.3	1
Dhx8	15	0.3	1
Psmc6	15	0.3	1
Use1	17	0.34	1
Arfrp1	18	0.36	1
Prpf31	19	0.38	1
Crcp	21	0.42	1
Pdrg1	22	0.44	1
Usp39_P1	23	0.46	1
Chmp5	23	0.46	1
Snx17	26	0.52	1
Vps36	27	0.54	1
Ncstn	29	0.58	1
Usp8	30	0.6	1
Eif2b5	30	0.6	1
Atp6v1f	31	0.62	1
Atp6v0e2	32	0.64	1
Psmd6	33	0.66	1
Cherp	33	0.66	1
Ufd1l	35	0.7000000000000001	1
Psmc4	35	0.7000000000000001	1
Dhdds	35	0.7000000000000001	1
Atp6v0b	36	0.72	1
Copa	36	0.72	1
Sf3a1	36	0.72	1
Ubl5	37	0.74	1
Vps25_P1	37	0.74	1
Chmp6_P1	38	0.76	1
Snrnp200	38	0.76	1
Copz1	39	0.78	1
Scfd1	39	0.78	1
Msto1	40	0.8	1
Copb1	40	0.8	1
Copb2	41	0.8200000000000001	1
Pfdn2	41	0.8200000000000001	1
Jtb	43	0.86	1
Eif2b4	43	0.86	1
Atp6v1h	45	0.9	1
Uri1	45	0.9	1
Cse1l	46	0.92	1
Stx5a	47	0.9400000000000001	1
Rnasek	48	0.96	1
Ubap1	48	0.96	1
Chmp4b	48	0.96	1
Chmp2a	50	1.0	1
Tmem178	1	0.02	2
Zdhhc17	1	0.02	2
Tmed10	2	0.04	2
Lonp1	2	0.04	2
Mbtps1	2	0.04	2
Fmnl2	2	0.04	2
Klhl32	2	0.04	2
Osbpl7	3	0.06	2
Gtf2e1	3	0.06	2
Abhd14b	3	0.06	2
Fap	3	0.06	2
Stam2	3	0.06	2
Hist1h2bk	3	0.06	2
Ggn	4	0.08	2
Arl8b	5	0.1	2
Chga	6	0.12	2
Rps25	6	0.12	2
Adam20	6	0.12	2
Senp2	6	0.12	2
Acad11	7	0.14	2
Ykt6	7	0.14	2
Prpf8	7	0.14	2
Copg1	7	0.14	2
Nlrp14	8	0.16	2
Foxred1	9	0.18	2
Fam19a1	9	0.18	2
Arl2	9	0.18	2
Fbxl16	9	0.18	2
Fbxw18	9	0.18	2
Cblb	10	0.2	2
Sbno1	10	0.2	2
C2	10	0.2	2
Cct6b	11	0.22	2
Becn1	11	0.22	2
Asb17	12	0.24	2
Htt	13	0.26	2
Cfdp1	13	0.26	2
Igfbp4_P2	13	0.26	2
Rbbp6	13	0.26	2
Ttc1	15	0.3	2
H2afz	15	0.3	2
Psmc6	15	0.3	2
Gmppb	16	0.32	2
Dhx8	16	0.32	2
Atp6v0e	16	0.32	2
Prpf3	17	0.34	2
Pla2g2c	17	0.34	2
Snx20	18	0.36	2
Cct4	18	0.36	2
Stx18	20	0.4	2
Nus1	23	0.46	2
H2-Ke2	24	0.48	2
Fbxl12	26	0.52	2
Crcp	27	0.54	2
Use1	27	0.54	2
Cct7	29	0.58	2
Cct5	31	0.62	2
Pdrg1	31	0.62	2
Chmp5	34	0.68	2
Usp39_P1	39	0.78	2
Ncstn	40	0.8	2
Atp6v1f	40	0.8	2
Arfrp1	41	0.8200000000000001	2
Prpf31	41	0.8200000000000001	2
Atp6v0b	41	0.8200000000000001	2
Snx17	42	0.84	2
Usp8	43	0.86	2
Cherp	43	0.86	2
Eif2b5	44	0.88	2
Psmd6	44	0.88	2
Wdr25	45	0.9	2
Dhdds	45	0.9	2
Copb2	46	0.92	2
Vps36	46	0.92	2
Atp6v0e2	46	0.92	2
Chmp6_P1	47	0.9400000000000001	2
Snrnp200	48	0.96	2
Vps25_P1	48	0.96	2
Copa	48	0.96	2
Scfd1	49	0.98	2
Pfdn2	49	0.98	2
Ufd1l	49	0.98	2
Msto1	49	0.98	2
Chmp4b	50	1.0	2
Rnasek	50	1.0	2
Stx5a	50	1.0	2
Copz1	50	1.0	2
Ubl5	50	1.0	2
Psmc4	50	1.0	2
Chmp2a	50	1.0	2
Atp6v1h	50	1.0	2
Jtb	50	1.0	2
Cse1l	50	1.0	2
Eif2b4	50	1.0	2
Sf3a1	50	1.0	2
Uri1	50	1.0	2
Ubap1	50	1.0	2
Copb1	50	1.0	2
Kdelc2	1	0.02	3
Klhl32	1	0.02	3
Stam2	1	0.02	3
Nfx1	1	0.02	3
Zdhhc17	1	0.02	3
Lonp1	3	0.06	3
Gnptab	3	0.06	3
Tmed10	3	0.06	3
Tmem178	4	0.08	3
Fap	4	0.08	3
Dmxl2	4	0.08	3
Abhd14b	5	0.1	3
Arl8b	5	0.1	3
Ggn	5	0.1	3
Gtf2e1	5	0.1	3
Acad11	7	0.14	3
Cblb	8	0.16	3
Chga	8	0.16	3
Hist1h2bk	9	0.18	3
Mbtps1	10	0.2	3
Nlrp14	10	0.2	3
Prpf8	11	0.22	3
Ykt6	11	0.22	3
Senp2	11	0.22	3
Igfbp4_P2	12	0.24	3
Copg1	12	0.24	3
Adam20	12	0.24	3
C2	12	0.24	3
Rbbp6	13	0.26	3
Fam19a1	15	0.3	3
Fbxw18	15	0.3	3
Becn1	16	0.32	3
Sbno1	16	0.32	3
Foxred1	16	0.32	3
Rps25	16	0.32	3
Gmppb	16	0.32	3
Cct6b	16	0.32	3
Fbxl16	17	0.34	3
Arl2	17	0.34	3
Htt	19	0.38	3
Snx20	19	0.38	3
Pla2g2c	20	0.4	3
H2afz	20	0.4	3
Psmc6	21	0.42	3
Cfdp1	21	0.42	3
Asb17	23	0.46	3
H2-Ke2	24	0.48	3
Prpf3	26	0.52	3
Cct4	27	0.54	3
Atp6v0e	27	0.54	3
Dhx8	27	0.54	3
Ttc1	29	0.58	3
Cct7	32	0.64	3
Stx18	32	0.64	3
Nus1	35	0.7000000000000001	3
Pdrg1	35	0.7000000000000001	3
Fbxl12	37	0.74	3
Crcp	38	0.76	3
Chmp5	38	0.76	3
Cct5	41	0.8200000000000001	3
Atp6v1f	42	0.84	3
Use1	42	0.84	3
Prpf31	43	0.86	3
Usp39_P1	43	0.86	3
Usp8	44	0.88	3
Arfrp1	45	0.9	3
Psmd6	45	0.9	3
