cohort	replicate	subset	num_overlapping	frac_overlapping
size_1_0	0	1	16	0.5
size_1_1	1	1	16	0.5
size_1_2	2	1	17	0.53125
size_1_3	3	1	16	0.5
size_1_4	4	1	17	0.53125
size_1_5	5	1	29	0.90625
size_1_6	6	1	17	0.53125
size_1_7	7	1	29	0.90625
size_1_8	8	1	17	0.53125
size_1_9	9	1	29	0.90625
size_1_10	10	1	16	0.5
size_1_11	11	1	16	0.5
size_1_12	12	1	29	0.90625
size_1_13	13	1	29	0.90625
size_1_14	14	1	29	0.90625
size_1_15	15	1	16	0.5
size_1_16	16	1	16	0.5
size_1_17	17	1	16	0.5
size_1_18	18	1	17	0.53125
size_1_19	19	1	29	0.90625
size_1_20	20	1	17	0.53125
size_1_21	21	1	29	0.90625
size_1_22	22	1	17	0.53125
size_1_23	23	1	29	0.90625
size_1_24	24	1	17	0.53125
size_1_25	25	1	29	0.90625
size_1_26	26	1	29	0.90625
size_1_27	27	1	17	0.53125
size_1_28	28	1	29	0.90625
size_1_29	29	1	29	0.90625
size_1_30	30	1	17	0.53125
size_1_31	31	1	29	0.90625
size_1_32	32	1	29	0.90625
size_1_33	33	1	17	0.53125
size_1_34	34	1	17	0.53125
size_1_35	35	1	17	0.53125
size_1_36	36	1	17	0.53125
size_1_37	37	1	16	0.5
size_1_38	38	1	16	0.5
size_1_39	39	1	16	0.5
size_1_40	40	1	17	0.53125
size_1_41	41	1	16	0.5
size_1_42	42	1	17	0.53125
size_1_43	43	1	16	0.5
size_1_44	44	1	17	0.53125
size_1_45	45	1	17	0.53125
size_1_46	46	1	16	0.5
size_1_47	47	1	17	0.53125
size_1_48	48	1	16	0.5
size_1_49	49	1	17	0.53125
size_2_0	0	2	30	0.9375
size_2_1	1	2	27	0.84375
size_2_2	2	2	27	0.84375
size_2_3	3	2	27	0.84375
size_2_4	4	2	31	0.96875
size_2_5	5	2	31	0.96875
size_2_6	6	2	27	0.84375
size_2_7	7	2	30	0.9375
size_2_8	8	2	27	0.84375
size_2_9	9	2	27	0.84375
size_2_10	10	2	30	0.9375
size_2_11	11	2	30	0.9375
size_2_12	12	2	27	0.84375
size_2_13	13	2	27	0.84375
size_2_14	14	2	30	0.9375
size_2_15	15	2	27	0.84375
size_2_16	16	2	30	0.9375
size_2_17	17	2	18	0.5625
size_2_18	18	2	18	0.5625
size_2_19	19	2	30	0.9375
size_2_20	20	2	31	0.96875
size_2_21	21	2	30	0.9375
size_2_22	22	2	18	0.5625
size_2_23	23	2	27	0.84375
size_2_24	24	2	30	0.9375
size_2_25	25	2	27	0.84375
size_2_26	26	2	27	0.84375
size_2_27	27	2	18	0.5625
size_2_28	28	2	31	0.96875
size_2_29	29	2	27	0.84375
size_2_30	30	2	18	0.5625
size_2_31	31	2	18	0.5625
size_2_32	32	2	30	0.9375
size_2_33	33	2	31	0.96875
size_2_34	34	2	30	0.9375
size_2_35	35	2	27	0.84375
size_2_36	36	2	30	0.9375
size_2_37	37	2	31	0.96875
size_2_38	38	2	30	0.9375
size_2_39	39	2	31	0.96875
size_2_40	40	2	18	0.5625
size_2_41	41	2	31	0.96875
size_2_42	42	2	27	0.84375
size_2_43	43	2	27	0.84375
size_2_44	44	2	18	0.5625
size_2_45	45	2	30	0.9375
size_2_46	46	2	27	0.84375
size_2_47	47	2	30	0.9375
size_2_48	48	2	27	0.84375
size_2_49	49	2	30	0.9375
size_3_0	0	3	29	0.90625
size_3_1	1	3	32	1.0
size_3_2	2	3	32	1.0
size_3_3	3	3	29	0.90625
size_3_4	4	3	16	0.5
size_3_5	5	3	29	0.90625
size_3_6	6	3	29	0.90625
size_3_7	7	3	29	0.90625
size_3_8	8	3	16	0.5
size_3_9	9	3	16	0.5
size_3_10	10	3	32	1.0
size_3_11	11	3	16	0.5
size_3_12	12	3	16	0.5
size_3_13	13	3	16	0.5
size_3_14	14	3	32	1.0
size_3_15	15	3	16	0.5
size_3_16	16	3	29	0.90625
size_3_17	17	3	29	0.90625
size_3_18	18	3	16	0.5
size_3_19	19	3	29	0.90625
size_3_20	20	3	29	0.90625
size_3_21	21	3	29	0.90625
size_3_22	22	3	32	1.0
size_3_23	23	3	16	0.5
size_3_24	24	3	16	0.5
size_3_25	25	3	29	0.90625
size_3_26	26	3	29	0.90625
size_3_27	27	3	16	0.5
size_3_28	28	3	29	0.90625
size_3_29	29	3	16	0.5
size_3_30	30	3	29	0.90625
size_3_31	31	3	16	0.5
size_3_32	32	3	16	0.5
size_3_33	33	3	16	0.5
size_3_34	34	3	16	0.5
size_3_35	35	3	16	0.5
size_3_36	36	3	16	0.5
size_3_37	37	3	16	0.5
size_3_38	38	3	16	0.5
size_3_39	39	3	32	1.0
size_3_40	40	3	16	0.5
size_3_41	41	3	16	0.5
size_3_42	42	3	32	1.0
size_3_43	43	3	29	0.90625
size_3_44	44	3	16	0.5
size_3_45	45	3	32	1.0
size_3_46	46	3	32	1.0
size_3_47	47	3	29	0.90625
size_3_48	48	3	29	0.90625
size_3_49	49	3	16	0.5
