gene	num_tests	frac_tests
Ttc1	25	0.16666666666666669
Sgtb	48	0.32
Bag1	57	0.38
Cct8	65	0.43333333333333335
Dnajc17	67	0.4466666666666667
Psmg3	68	0.45333333333333337
Vbp1	75	0.5
Gpsm1	75	0.5
Edem3	83	0.5533333333333333
Cct6a	83	0.5533333333333333
Nudc	83	0.5533333333333333
Tomm34	90	0.6000000000000001
Cacybp	98	0.6533333333333333
Dnajc21	98	0.6533333333333333
Cct6b	110	0.7333333333333334
Crnkl1	112	0.7466666666666667
Uxt	123	0.8200000000000001
Prpf6	135	0.9
Ctr9	135	0.9
Vcp	135	0.9
Gtf3c3	135	0.9
Asna1	138	0.92
Hspa5	150	1.0
Pfdn2	150	1.0
Cct3	150	1.0
Psmd2	150	1.0
Hspa8	150	1.0
Rpap3	150	1.0
Cct5	150	1.0
Cct7	150	1.0
Pdrg1	150	1.0
Psmc1	150	1.0
