gene	num_tests	frac_tests	subset
Nudc	15	0.3	1
Cct8	15	0.3	1
Sgtb	15	0.3	1
Dnajc17	15	0.3	1
Gpsm1	15	0.3	1
Cct6a	15	0.3	1
Edem3	15	0.3	1
Bag1	15	0.3	1
Crnkl1	24	0.48	1
Vbp1	26	0.52	1
Cct6b	30	0.6	1
Dnajc21	30	0.6	1
Cacybp	30	0.6	1
Tomm34	30	0.6	1
Uxt	35	0.7000000000000001	1
Gtf3c3	35	0.7000000000000001	1
Vcp	35	0.7000000000000001	1
Prpf6	35	0.7000000000000001	1
Ctr9	35	0.7000000000000001	1
Pdrg1	50	1.0	1
Cct3	50	1.0	1
Pfdn2	50	1.0	1
Hspa5	50	1.0	1
Hspa8	50	1.0	1
Psmc1	50	1.0	1
Asna1	50	1.0	1
Rpap3	50	1.0	1
Psmd2	50	1.0	1
Cct7	50	1.0	1
Cct5	50	1.0	1
Ttc1	16	0.32	2
Bag1	16	0.32	2
Sgtb	24	0.48	2
Cct8	24	0.48	2
Dnajc17	26	0.52	2
Gpsm1	34	0.68	2
Tomm34	34	0.68	2
Vbp1	40	0.8	2
Dnajc21	42	0.84	2
Cct6b	42	0.84	2
Nudc	42	0.84	2
Cct6a	42	0.84	2
Edem3	42	0.84	2
Cacybp	42	0.84	2
Psmg3	42	0.84	2
Vcp	50	1.0	2
Pdrg1	50	1.0	2
Prpf6	50	1.0	2
Gtf3c3	50	1.0	2
Hspa5	50	1.0	2
Uxt	50	1.0	2
Hspa8	50	1.0	2
Crnkl1	50	1.0	2
Psmd2	50	1.0	2
Psmc1	50	1.0	2
Ctr9	50	1.0	2
Cct3	50	1.0	2
Asna1	50	1.0	2
Rpap3	50	1.0	2
Pfdn2	50	1.0	2
Cct7	50	1.0	2
Cct5	50	1.0	2
Vbp1	9	0.18	3
Ttc1	9	0.18	3
Sgtb	9	0.18	3
Bag1	26	0.52	3
Cct8	26	0.52	3
Tomm34	26	0.52	3
Cacybp	26	0.52	3
Psmg3	26	0.52	3
Nudc	26	0.52	3
Dnajc21	26	0.52	3
Gpsm1	26	0.52	3
Dnajc17	26	0.52	3
Cct6a	26	0.52	3
Edem3	26	0.52	3
Asna1	38	0.76	3
Uxt	38	0.76	3
Crnkl1	38	0.76	3
Cct6b	38	0.76	3
Psmd2	50	1.0	3
Psmc1	50	1.0	3
Ctr9	50	1.0	3
Cct7	50	1.0	3
Cct5	50	1.0	3
Pfdn2	50	1.0	3
Hspa8	50	1.0	3
Gtf3c3	50	1.0	3
Rpap3	50	1.0	3
Vcp	50	1.0	3
Pdrg1	50	1.0	3
Cct3	50	1.0	3
Hspa5	50	1.0	3
Prpf6	50	1.0	3
